step,episode,episode_return,episode_length,wall_clock_s
500,1,-500.0,500,0.039
1000,2,-500.0,500,0.07
1500,3,-500.0,500,0.103
2000,4,-500.0,500,0.136
2500,5,-500.0,500,0.185
3000,6,-500.0,500,0.216
3500,7,-500.0,500,0.256
4000,8,-500.0,500,0.295
4500,9,-500.0,500,0.338
5000,10,-500.0,500,0.373
5363,11,-362.0,363,0.988
5863,12,-500.0,500,1.48
6363,13,-500.0,500,1.985
6784,14,-420.0,421,2.423
7178,15,-393.0,394,2.846
7678,16,-500.0,500,3.385
8154,17,-475.0,476,3.93
8641,18,-486.0,487,4.432
9051,19,-409.0,410,4.867
9551,20,-500.0,500,5.425
10051,21,-500.0,500,5.991
10459,22,-407.0,408,6.42
10959,23,-500.0,500,6.959
11432,24,-472.0,473,7.482
11834,25,-401.0,402,7.926
12137,26,-302.0,303,8.291
12422,27,-284.0,285,8.617
12700,28,-277.0,278,8.926
13100,29,-399.0,400,9.385
13289,30,-188.0,189,9.601
13451,31,-161.0,162,9.786
13780,32,-328.0,329,10.186
14280,33,-500.0,500,10.78
14529,34,-248.0,249,11.097
14936,35,-406.0,407,11.671
15167,36,-230.0,231,12.012
15304,37,-136.0,137,12.194
15503,38,-198.0,199,12.471
15624,39,-120.0,121,12.611
15836,40,-211.0,212,12.885
16063,41,-226.0,227,13.22
16246,42,-182.0,183,13.552
16517,43,-270.0,271,13.978
16745,44,-227.0,228,14.305
16904,45,-158.0,159,14.53
17111,46,-206.0,207,14.824
17233,47,-121.0,122,15.027
17394,48,-160.0,161,15.243
17606,49,-211.0,212,15.567
18000,50,-393.0,394,16.185
18279,51,-278.0,279,16.603
18476,52,-196.0,197,16.877
18664,53,-187.0,188,17.126
18805,54,-140.0,141,17.346
18991,55,-185.0,186,17.637
19238,56,-246.0,247,18.021
19394,57,-155.0,156,18.291
19574,58,-179.0,180,18.534
19705,59,-130.0,131,18.72
19843,60,-137.0,138,18.89
20042,61,-198.0,199,19.167
20188,62,-145.0,146,19.41
20305,63,-116.0,117,19.568
20412,64,-106.0,107,19.727
20539,65,-126.0,127,19.934
20668,66,-128.0,129,20.126
20777,67,-108.0,109,20.289
20925,68,-147.0,148,20.504
21040,69,-114.0,115,20.648
21166,70,-125.0,126,20.844
21294,71,-127.0,128,21.052
21476,72,-181.0,182,21.309
21640,73,-163.0,164,21.55
21776,74,-135.0,136,21.728
21929,75,-152.0,153,21.96
22045,76,-115.0,116,22.116
22160,77,-114.0,115,22.277
22292,78,-131.0,132,22.458
22420,79,-127.0,128,22.667
22575,80,-154.0,155,22.858
22679,81,-103.0,104,23.027
22786,82,-106.0,107,23.16
22936,83,-149.0,150,23.367
23038,84,-101.0,102,23.559
23171,85,-132.0,133,23.735
23341,86,-169.0,170,24.006
23477,87,-135.0,136,24.175
23597,88,-119.0,120,24.337
23714,89,-116.0,117,24.478
23832,90,-117.0,118,24.632
23951,91,-118.0,119,24.771
24051,92,-99.0,100,24.887
24187,93,-135.0,136,25.028
24294,94,-106.0,107,25.138
24424,95,-129.0,130,25.291
24501,96,-76.0,77,25.383
24586,97,-84.0,85,25.466
24767,98,-180.0,181,25.653
24899,99,-131.0,132,25.82
25021,100,-121.0,122,25.966
25136,101,-114.0,115,26.12
25260,102,-123.0,124,26.262
25348,103,-87.0,88,26.381
25462,104,-113.0,114,26.523
25614,105,-151.0,152,26.722
25762,106,-147.0,148,26.916
25903,107,-140.0,141,27.097
26038,108,-134.0,135,27.302
26133,109,-94.0,95,27.454
26252,110,-118.0,119,27.617
26383,111,-130.0,131,27.807
26484,112,-100.0,101,27.936
26611,113,-126.0,127,28.118
26701,114,-89.0,90,28.243
26852,115,-150.0,151,28.434
26964,116,-111.0,112,28.588
27058,117,-93.0,94,28.72
27139,118,-80.0,81,28.855
27219,119,-79.0,80,28.98
27336,120,-116.0,117,29.146
27422,121,-85.0,86,29.261
27518,122,-95.0,96,29.385
27606,123,-87.0,88,29.489
27717,124,-110.0,111,29.599
27802,125,-84.0,85,29.713
27921,126,-118.0,119,29.835
28023,127,-101.0,102,29.939
28171,128,-147.0,148,30.103
28313,129,-141.0,142,30.264
28407,130,-93.0,94,30.37
28506,131,-98.0,99,30.467
28586,132,-79.0,80,30.548
28688,133,-101.0,102,30.664
28951,134,-262.0,263,30.964
29090,135,-138.0,139,31.122
29223,136,-132.0,133,31.323
29296,137,-72.0,73,31.426
29686,138,-389.0,390,32.023
29791,139,-104.0,105,32.155
29916,140,-124.0,125,32.355
30047,141,-130.0,131,32.537
30166,142,-118.0,119,32.725
30244,143,-77.0,78,32.83
30392,144,-147.0,148,33.092
30525,145,-132.0,133,33.304
30602,146,-76.0,77,33.402
30721,147,-118.0,119,33.609
30815,148,-93.0,94,33.756
30899,149,-83.0,84,33.885
31017,150,-117.0,118,34.073
31150,151,-132.0,133,34.39
31252,152,-101.0,102,34.53
31385,153,-132.0,133,34.694
31537,154,-151.0,152,34.957
31643,155,-105.0,106,35.126
31734,156,-90.0,91,35.249
31850,157,-115.0,116,35.397
31975,158,-124.0,125,35.561
32097,159,-121.0,122,35.737
32200,160,-102.0,103,35.878
32355,161,-154.0,155,36.126
32472,162,-116.0,117,36.288
32566,163,-93.0,94,36.455
32693,164,-126.0,127,36.606
32810,165,-116.0,117,36.796
32935,166,-124.0,125,36.97
33032,167,-96.0,97,37.095
33155,168,-122.0,123,37.26
33296,169,-140.0,141,37.464
33395,170,-98.0,99,37.581
33549,171,-153.0,154,37.753
33655,172,-105.0,106,37.863
33734,173,-78.0,79,37.954
33867,174,-132.0,133,38.117
33979,175,-111.0,112,38.231
34074,176,-94.0,95,38.337
34192,177,-117.0,118,38.468
34282,178,-89.0,90,38.574
34463,179,-180.0,181,38.791
34579,180,-115.0,116,38.932
34724,181,-144.0,145,39.108
34807,182,-82.0,83,39.2
34907,183,-99.0,100,39.309
35017,184,-109.0,110,39.472
35147,185,-129.0,130,39.665
35281,186,-133.0,134,39.84
35372,187,-90.0,91,40.003
35471,188,-98.0,99,40.16
35578,189,-106.0,107,40.348
35663,190,-84.0,85,40.469
35872,191,-208.0,209,40.796
36000,192,-127.0,128,40.971
36267,193,-266.0,267,41.362
36385,194,-117.0,118,41.544
36508,195,-122.0,123,41.713
36612,196,-103.0,104,41.901
36689,197,-76.0,77,42.022
36800,198,-110.0,111,42.156
36921,199,-120.0,121,42.327
37038,200,-116.0,117,42.491
37145,201,-106.0,107,42.643
37244,202,-98.0,99,42.785
37341,203,-96.0,97,42.926
37493,204,-151.0,152,43.167
37613,205,-119.0,120,43.339
37778,206,-164.0,165,43.581
37891,207,-112.0,113,43.776
38057,208,-165.0,166,44.01
38161,209,-103.0,104,44.163
38393,210,-231.0,232,44.482
38495,211,-101.0,102,44.639
38578,212,-82.0,83,44.752
38674,213,-95.0,96,44.9
38818,214,-143.0,144,45.114
38961,215,-142.0,143,45.327
39173,216,-211.0,212,45.653
39298,217,-124.0,125,45.856
39401,218,-102.0,103,46.022
39519,219,-117.0,118,46.201
