step,episode,episode_return,episode_length,wall_clock_s
14,1,14.0,14,0.0
42,2,28.0,28,0.001
52,3,10.0,10,0.001
99,4,47.0,47,0.001
121,5,22.0,22,0.001
132,6,11.0,11,0.002
172,7,40.0,40,0.002
203,8,31.0,31,0.002
219,9,16.0,16,0.002
244,10,25.0,25,0.003
267,11,23.0,23,0.003
309,12,42.0,42,0.003
323,13,14.0,14,0.003
353,14,30.0,30,0.003
367,15,14.0,14,0.004
395,16,28.0,28,0.004
438,17,43.0,43,0.004
472,18,34.0,34,0.005
500,19,28.0,28,0.005
527,20,27.0,27,0.005
542,21,15.0,15,0.005
559,22,17.0,17,0.005
568,23,9.0,9,0.005
582,24,14.0,14,0.005
602,25,20.0,20,0.005
617,26,15.0,15,0.005
635,27,18.0,18,0.007
654,28,19.0,19,0.007
671,29,17.0,17,0.007
681,30,10.0,10,0.007
734,31,53.0,53,0.008
751,32,17.0,17,0.008
797,33,46.0,46,0.008
813,34,16.0,16,0.008
840,35,27.0,27,0.009
852,36,12.0,12,0.009
875,37,23.0,23,0.009
909,38,34.0,34,0.009
929,39,20.0,20,0.01
948,40,19.0,19,0.01
969,41,21.0,21,0.018
989,42,20.0,20,0.018
1021,43,32.0,32,0.216
1030,44,9.0,9,0.221
1053,45,23.0,23,0.246
1066,46,13.0,13,0.256
1084,47,18.0,18,0.27
1106,48,22.0,22,0.29
1121,49,15.0,15,0.302
1146,50,25.0,25,0.324
1156,51,10.0,10,0.331
1166,52,10.0,10,0.339
1180,53,14.0,14,0.346
1198,54,18.0,18,0.357
1216,55,18.0,18,0.365
1254,56,38.0,38,0.392
1288,57,34.0,34,0.41
1301,58,13.0,13,0.42
1330,59,29.0,29,0.442
1345,60,15.0,15,0.451
1362,61,17.0,17,0.461
1374,62,12.0,12,0.468
1406,63,32.0,32,0.483
1441,64,35.0,35,0.503
1465,65,24.0,24,0.515
1490,66,25.0,25,0.529
1506,67,16.0,16,0.537
1522,68,16.0,16,0.546
1535,69,13.0,13,0.554
1562,70,27.0,27,0.57
1580,71,18.0,18,0.58
1593,72,13.0,13,0.588
1609,73,16.0,16,0.596
1622,74,13.0,13,0.603
1640,75,18.0,18,0.611
1655,76,15.0,15,0.62
1665,77,10.0,10,0.627
1678,78,13.0,13,0.635
1690,79,12.0,12,0.641
1713,80,23.0,23,0.653
1739,81,26.0,26,0.668
1758,82,19.0,19,0.678
1788,83,30.0,30,0.693
1803,84,15.0,15,0.708
1818,85,15.0,15,0.723
1854,86,36.0,36,0.754
1870,87,16.0,16,0.769
1882,88,12.0,12,0.779
1894,89,12.0,12,0.79
1904,90,10.0,10,0.797
1934,91,30.0,30,0.815
1976,92,42.0,42,0.848
1999,93,23.0,23,0.87
2014,94,15.0,15,0.883
2025,95,11.0,11,0.894
2044,96,19.0,19,0.907
2067,97,23.0,23,0.921
2076,98,9.0,9,0.926
2101,99,25.0,25,0.946
2110,100,9.0,9,0.952
2122,101,12.0,12,0.963
2132,102,10.0,10,0.971
2143,103,11.0,11,0.982
2154,104,11.0,11,0.994
2181,105,27.0,27,1.015
2195,106,14.0,14,1.022
2209,107,14.0,14,1.03
2221,108,12.0,12,1.04
2244,109,23.0,23,1.058
2258,110,14.0,14,1.07
2275,111,17.0,17,1.079
2286,112,11.0,11,1.085
2296,113,10.0,10,1.09
2311,114,15.0,15,1.103
2332,115,21.0,21,1.117
2343,116,11.0,11,1.123
2354,117,11.0,11,1.13
2378,118,24.0,24,1.143
2396,119,18.0,18,1.157
2409,120,13.0,13,1.172
2420,121,11.0,11,1.181
2440,122,20.0,20,1.199
2477,123,37.0,37,1.232
2506,124,29.0,29,1.256
2520,125,14.0,14,1.262
2549,126,29.0,29,1.279
2564,127,15.0,15,1.287
2575,128,11.0,11,1.294
2606,129,31.0,31,1.32
2617,130,11.0,11,1.33
2627,131,10.0,10,1.337
2639,132,12.0,12,1.345
2651,133,12.0,12,1.351
2692,134,41.0,41,1.385
2702,135,10.0,10,1.398
2711,136,9.0,9,1.403
2725,137,14.0,14,1.417
2758,138,33.0,33,1.435
2772,139,14.0,14,1.442
2795,140,23.0,23,1.454
2808,141,13.0,13,1.462
2816,142,8.0,8,1.468
2829,143,13.0,13,1.476
2842,144,13.0,13,1.483
2868,145,26.0,26,1.496
2879,146,11.0,11,1.506
2904,147,25.0,25,1.529
2917,148,13.0,13,1.544
2951,149,34.0,34,1.572
2965,150,14.0,14,1.581
2980,151,15.0,15,1.59
3004,152,24.0,24,1.606
3036,153,32.0,32,1.633
3048,154,12.0,12,1.647
3064,155,16.0,16,1.658
3076,156,12.0,12,1.664
3086,157,10.0,10,1.671
3099,158,13.0,13,1.678
3111,159,12.0,12,1.686
3122,160,11.0,11,1.692
3140,161,18.0,18,1.704
3156,162,16.0,16,1.715
3168,163,12.0,12,1.72
3185,164,17.0,17,1.733
3207,165,22.0,22,1.746
3220,166,13.0,13,1.756
3289,167,69.0,69,1.81
3312,168,23.0,23,1.822
3330,169,18.0,18,1.842
3348,170,18.0,18,1.852
3378,171,30.0,30,1.869
3399,172,21.0,21,1.88
3420,173,21.0,21,1.892
3434,174,14.0,14,1.9
3462,175,28.0,28,1.916
3479,176,17.0,17,1.926
3497,177,18.0,18,1.937
3521,178,24.0,24,1.95
3557,179,36.0,36,1.978
3581,180,24.0,24,1.998
3600,181,19.0,19,2.008
3638,182,38.0,38,2.032
3659,183,21.0,21,2.051
3681,184,22.0,22,2.073
3693,185,12.0,12,2.086
3705,186,12.0,12,2.097
3718,187,13.0,13,2.111
3731,188,13.0,13,2.124
3745,189,14.0,14,2.137
3757,190,12.0,12,2.145
3768,191,11.0,11,2.15
3781,192,13.0,13,2.165
3792,193,11.0,11,2.175
3803,194,11.0,11,2.186
3818,195,15.0,15,2.202
3837,196,19.0,19,2.223
3847,197,10.0,10,2.23
3858,198,11.0,11,2.237
3873,199,15.0,15,2.246
3920,200,47.0,47,2.271
3932,201,12.0,12,2.277
3948,202,16.0,16,2.287
3981,203,33.0,33,2.315
4001,204,20.0,20,2.335
4014,205,13.0,13,2.348
4023,206,9.0,9,2.354
4043,207,20.0,20,2.365
4056,208,13.0,13,2.371
4065,209,9.0,9,2.378
4081,210,16.0,16,2.387
4097,211,16.0,16,2.397
4108,212,11.0,11,2.402
4128,213,20.0,20,2.414
4167,214,39.0,39,2.445
4187,215,20.0,20,2.457
4256,216,69.0,69,2.499
4287,217,31.0,31,2.53
4300,218,13.0,13,2.543
4351,219,51.0,51,2.59
4390,220,39.0,39,2.615
4431,221,41.0,41,2.645
4450,222,19.0,19,2.666
4471,223,21.0,21,2.686
4548,224,77.0,77,2.741
4586,225,38.0,38,2.765
4613,226,27.0,27,2.783
4671,227,58.0,58,2.827
4705,228,34.0,34,2.861
4851,229,146.0,146,2.972
4942,230,91.0,91,3.035
4979,231,37.0,37,3.058
4998,232,19.0,19,3.073
5025,233,27.0,27,3.09
5067,234,42.0,42,3.115
5095,235,28.0,28,3.135
5151,236,56.0,56,3.17
5167,237,16.0,16,3.18
5334,238,167.0,167,3.326
5629,239,295.0,295,3.527
5762,240,133.0,133,3.624
5816,241,54.0,54,3.663
5940,242,124.0,124,3.782
6081,243,141.0,141,3.885
6221,244,140.0,140,3.986
6459,245,238.0,238,4.17
6646,246,187.0,187,4.32
6828,247,182.0,182,4.493
6847,248,19.0,19,4.505
7007,249,160.0,160,4.639
7383,250,376.0,376,4.937
7594,251,211.0,211,5.126
7741,252,147.0,147,5.245
7898,253,157.0,157,5.371
8098,254,200.0,200,5.551
8344,255,246.0,246,5.757
8639,256,295.0,295,6.012
8901,257,262.0,262,6.247
9165,258,264.0,264,6.48
9665,259,500.0,500,6.933
9872,260,207.0,207,7.104
10193,261,321.0,321,7.383
10402,262,209.0,209,7.558
10631,263,229.0,229,7.755
10857,264,226.0,226,7.929
11011,265,154.0,154,8.055
11157,266,146.0,146,8.168
11466,267,309.0,309,8.444
11727,268,261.0,261,8.705
11923,269,196.0,196,8.857
12277,270,354.0,354,9.136
12507,271,230.0,230,9.35
12805,272,298.0,298,9.723
13066,273,261.0,261,9.989
13280,274,214.0,214,10.167
13522,275,242.0,242,10.416
13864,276,342.0,342,10.866
14155,277,291.0,291,11.323
14376,278,221.0,221,11.586
14630,279,254.0,254,11.966
14888,280,258.0,258,12.309
15112,281,224.0,224,12.676
15326,282,214.0,214,13.01
15522,283,196.0,196,13.273
15699,284,177.0,177,13.494
15921,285,222.0,222,13.753
16177,286,256.0,256,14.08
16375,287,198.0,198,14.286
16561,288,186.0,186,14.501
16770,289,209.0,209,14.678
16957,290,187.0,187,14.842
17128,291,171.0,171,14.986
17295,292,167.0,167,15.142
17451,293,156.0,156,15.267
17671,294,220.0,220,15.469
17955,295,284.0,284,15.822
18155,296,200.0,200,16.057
18316,297,161.0,161,16.185
18477,298,161.0,161,16.339
18665,299,188.0,188,16.516
18845,300,180.0,180,16.658
19038,301,193.0,193,16.815
19268,302,230.0,230,17.008
19425,303,157.0,157,17.144
19628,304,203.0,203,17.326
19797,305,169.0,169,17.474
20020,306,223.0,223,17.653
20198,307,178.0,178,17.795
20394,308,196.0,196,17.997
20575,309,181.0,181,18.179
20801,310,226.0,226,18.382
20990,311,189.0,189,18.567
21213,312,223.0,223,18.755
