step,episode,episode_return,episode_length,wall_clock_s
500,1,-500.0,500,1.783
1000,2,-500.0,500,2.742
1500,3,-500.0,500,7.171
2000,4,-500.0,500,8.061
2500,5,-500.0,500,11.284
3000,6,-500.0,500,12.243
3500,7,-500.0,500,15.642
4000,8,-500.0,500,16.6
4500,9,-500.0,500,20.123
5000,10,-500.0,500,21.48
5500,11,-500.0,500,24.447
6000,12,-500.0,500,25.935
6500,13,-500.0,500,30.05
7000,14,-500.0,500,31.187
7500,15,-500.0,500,34.751
8000,16,-500.0,500,35.712
8500,17,-500.0,500,39.225
9000,18,-500.0,500,40.092
9500,19,-500.0,500,43.85
10000,20,-500.0,500,44.768
10500,21,-500.0,500,47.71
11000,22,-500.0,500,48.81
11500,23,-500.0,500,51.656
12000,24,-500.0,500,52.611
12500,25,-500.0,500,56.38
13000,26,-500.0,500,57.356
13500,27,-500.0,500,60.721
14000,28,-500.0,500,62.284
14500,29,-500.0,500,65.272
15000,30,-500.0,500,66.163
15500,31,-500.0,500,69.57
16000,32,-500.0,500,71.41
16500,33,-500.0,500,74.525
17000,34,-500.0,500,76.327
17500,35,-500.0,500,79.319
18000,36,-500.0,500,80.403
18500,37,-500.0,500,82.917
19000,38,-500.0,500,84.069
19500,39,-500.0,500,86.629
20000,40,-500.0,500,87.589
20500,41,-500.0,500,90.816
21000,42,-500.0,500,92.157
21500,43,-500.0,500,93.033
22000,44,-500.0,500,96.268
22500,45,-500.0,500,97.526
23000,46,-500.0,500,100.713
23500,47,-500.0,500,101.705
24000,48,-500.0,500,104.224
24500,49,-500.0,500,105.559
25000,50,-500.0,500,108.695
25500,51,-500.0,500,109.656
26000,52,-500.0,500,112.881
26500,53,-500.0,500,113.75
27000,54,-500.0,500,116.715
27500,55,-500.0,500,117.754
28000,56,-500.0,500,120.677
28500,57,-500.0,500,121.613
29000,58,-500.0,500,125.219
29500,59,-500.0,500,126.258
30000,60,-500.0,500,129.412
30500,61,-500.0,500,130.583
31000,62,-500.0,500,134.264
31500,63,-500.0,500,135.264
32000,64,-500.0,500,137.928
32500,65,-500.0,500,139.042
33000,66,-500.0,500,142.237
33500,67,-500.0,500,143.229
34000,68,-500.0,500,146.33
34500,69,-500.0,500,147.26
35000,70,-500.0,500,150.288
35500,71,-500.0,500,151.282
36000,72,-500.0,500,154.203
36500,73,-500.0,500,155.205
37000,74,-500.0,500,157.639
37500,75,-500.0,500,158.61
38000,76,-500.0,500,160.996
38500,77,-500.0,500,161.946
39000,78,-500.0,500,164.61
39500,79,-500.0,500,166.11
40000,80,-500.0,500,168.635
40500,81,-500.0,500,169.504
41000,82,-500.0,500,173.506
41500,83,-500.0,500,174.744
42000,84,-500.0,500,177.943
42500,85,-500.0,500,178.959
43000,86,-500.0,500,179.913
43500,87,-500.0,500,182.523
44000,88,-500.0,500,183.482
44500,89,-500.0,500,186.941
45000,90,-500.0,500,187.951
45500,91,-500.0,500,191.633
46000,92,-500.0,500,192.602
46500,93,-500.0,500,195.584
47000,94,-500.0,500,196.514
47500,95,-500.0,500,199.236
48000,96,-500.0,500,200.515
48500,97,-500.0,500,204.496
49000,98,-500.0,500,205.587
49500,99,-500.0,500,208.664
50000,100,-500.0,500,209.654
50500,101,-500.0,500,212.581
51000,102,-500.0,500,213.568
51500,103,-500.0,500,217.4
52000,104,-500.0,500,218.805
52500,105,-500.0,500,222.098
53000,106,-500.0,500,223.195
53500,107,-500.0,500,226.13
54000,108,-500.0,500,227.121
54500,109,-500.0,500,229.68
55000,110,-500.0,500,230.708
55500,111,-500.0,500,234.523
56000,112,-500.0,500,235.442
56500,113,-500.0,500,238.035
57000,114,-500.0,500,239.007
57500,115,-500.0,500,241.866
58000,116,-500.0,500,243.559
58500,117,-500.0,500,246.27
59000,118,-500.0,500,247.409
59500,119,-500.0,500,250.8
60000,120,-500.0,500,251.913
60500,121,-500.0,500,254.734
61000,122,-500.0,500,256.424
61500,123,-500.0,500,259.898
62000,124,-500.0,500,261.219
62500,125,-500.0,500,264.572
63000,126,-500.0,500,265.527
63500,127,-500.0,500,269.11
64000,128,-500.0,500,270.494
64500,129,-500.0,500,272.056
65000,130,-500.0,500,275.795
65500,131,-500.0,500,276.752
66000,132,-500.0,500,279.591
66500,133,-500.0,500,280.753
67000,134,-500.0,500,285.119
67500,135,-500.0,500,286.011
68000,136,-500.0,500,289.371
68500,137,-500.0,500,291.114
69000,138,-500.0,500,294.794
69500,139,-500.0,500,296.29
70000,140,-500.0,500,298.976
70500,141,-500.0,500,299.927
71000,142,-500.0,500,302.96
71500,143,-500.0,500,304.152
72000,144,-500.0,500,307.817
72500,145,-500.0,500,308.781
73000,146,-500.0,500,311.64
73500,147,-500.0,500,313.026
74000,148,-500.0,500,316.192
74500,149,-500.0,500,317.153
75000,150,-500.0,500,320.698
75500,151,-500.0,500,322.096
76000,152,-500.0,500,324.71
76500,153,-500.0,500,325.973
77000,154,-500.0,500,328.679
77500,155,-500.0,500,329.637
78000,156,-500.0,500,333.137
78500,157,-500.0,500,334.091
79000,158,-500.0,500,337.19
79500,159,-500.0,500,338.665
80000,160,-500.0,500,341.674
80500,161,-500.0,500,342.732
80990,162,-489.0,490,346.041
81490,163,-500.0,500,347.056
81990,164,-500.0,500,350.524
82490,165,-500.0,500,351.506
82990,166,-500.0,500,354.761
83490,167,-500.0,500,356.057
83990,168,-500.0,500,359.214
84490,169,-500.0,500,360.821
84990,170,-500.0,500,361.87
