step,episode,episode_return,episode_length,wall_clock_s
19,1,19.0,19,0.504
36,2,17.0,17,0.566
60,3,24.0,24,0.639
77,4,17.0,17,0.693
97,5,20.0,20,0.748
113,6,16.0,16,0.777
139,7,26.0,26,0.817
181,8,42.0,42,0.913
249,9,68.0,68,1.025
297,10,48.0,48,1.105
310,11,13.0,13,1.125
333,12,23.0,23,1.161
362,13,29.0,29,1.205
384,14,22.0,22,1.239
404,15,20.0,20,1.27
426,16,22.0,22,1.303
449,17,23.0,23,1.339
506,18,57.0,57,1.43
517,19,11.0,11,1.447
552,20,35.0,35,1.501
575,21,23.0,23,1.536
585,22,10.0,10,1.551
601,23,16.0,16,1.576
638,24,37.0,37,1.633
673,25,35.0,35,1.688
702,26,29.0,29,1.736
733,27,31.0,31,1.787
771,28,38.0,38,1.849
789,29,18.0,18,1.879
852,30,63.0,63,1.977
895,31,43.0,43,2.043
906,32,11.0,11,2.06
920,33,14.0,14,2.081
936,34,16.0,16,2.106
948,35,12.0,12,2.124
964,36,16.0,16,2.149
980,37,16.0,16,2.174
1025,38,45.0,45,2.243
1043,39,18.0,18,2.271
1052,40,9.0,9,2.321
1069,41,17.0,17,2.38
1087,42,18.0,18,2.449
1107,43,20.0,20,2.512
1122,44,15.0,15,2.569
1178,45,56.0,56,2.749
1189,46,11.0,11,2.771
1224,47,35.0,35,2.888
1235,48,11.0,11,2.921
1260,49,25.0,25,3.007
1270,50,10.0,10,3.023
1284,51,14.0,14,3.079
1310,52,26.0,26,3.186
1377,53,67.0,67,3.423
1409,54,32.0,32,3.504
1417,55,8.0,8,3.535
1425,56,8.0,8,3.566
1437,57,12.0,12,3.615
1449,58,12.0,12,3.633
1474,59,25.0,25,3.701
1492,60,18.0,18,3.729
1564,61,72.0,72,3.84
1576,62,12.0,12,3.858
1592,63,16.0,16,3.91
1608,64,16.0,16,3.935
1618,65,10.0,10,3.951
1631,66,13.0,13,3.971
1661,67,30.0,30,4.018
1677,68,16.0,16,4.043
1700,69,23.0,23,4.081
1715,70,15.0,15,4.107
1727,71,12.0,12,4.127
1754,72,27.0,27,4.17
1777,73,23.0,23,4.207
1786,74,9.0,9,4.221
1802,75,16.0,16,4.246
1820,76,18.0,18,4.274
1840,77,20.0,20,4.305
1853,78,13.0,13,4.325
1867,79,14.0,14,4.346
1918,80,51.0,51,4.425
1949,81,31.0,31,4.473
1961,82,12.0,12,4.491
1980,83,19.0,19,4.52
1994,84,14.0,14,4.542
2010,85,16.0,16,4.567
2022,86,12.0,12,4.585
2040,87,18.0,18,4.613
2104,88,64.0,64,8.89
2139,89,35.0,35,9.0
2156,90,17.0,17,9.033
2168,91,12.0,12,9.08
2185,92,17.0,17,9.143
2256,93,71.0,71,9.31
2267,94,11.0,11,9.327
2324,95,57.0,57,9.444
2357,96,33.0,33,9.501
2379,97,22.0,22,9.54
2433,98,54.0,54,9.626
2465,99,32.0,32,9.677
2479,100,14.0,14,9.699
2502,101,23.0,23,9.734
2558,102,56.0,56,9.821
2619,103,61.0,61,9.916
2635,104,16.0,16,9.941
2677,105,42.0,42,10.007
2706,106,29.0,29,10.056
2720,107,14.0,14,10.08
2771,108,51.0,51,10.164
2826,109,55.0,55,10.252
2852,110,26.0,26,10.293
2863,111,11.0,11,10.31
2892,112,29.0,29,10.356
2928,113,36.0,36,10.475
2991,114,63.0,63,10.67
3010,115,19.0,19,10.71
3027,116,17.0,17,10.768
3065,117,38.0,38,10.891
3109,118,44.0,44,11.023
3145,119,36.0,36,11.143
3234,120,89.0,89,11.317
3285,121,51.0,51,11.4
3321,122,36.0,36,11.459
3333,123,12.0,12,11.506
3367,124,34.0,34,11.56
3382,125,15.0,15,11.583
3419,126,37.0,37,11.641
3499,127,80.0,80,11.764
3531,128,32.0,32,11.814
3559,129,28.0,28,11.857
3607,130,48.0,48,11.934
3624,131,17.0,17,11.961
3644,132,20.0,20,11.993
3719,133,75.0,75,12.117
3775,134,56.0,56,12.209
3795,135,20.0,20,12.241
3808,136,13.0,13,12.261
3833,137,25.0,25,12.3
3879,138,46.0,46,12.371
3959,139,80.0,80,12.495
3979,140,20.0,20,12.526
3992,141,13.0,13,12.547
4018,142,26.0,26,12.616
4069,143,51.0,51,12.697
4221,144,152.0,152,18.261
4244,145,23.0,23,18.298
4299,146,55.0,55,18.387
4353,147,54.0,54,18.47
4454,148,101.0,101,18.629
4463,149,9.0,9,18.643
4475,150,12.0,12,18.662
4500,151,25.0,25,18.701
4520,152,20.0,20,18.732
4604,153,84.0,84,18.934
4653,154,49.0,49,19.074
4708,155,55.0,55,19.294
4755,156,47.0,47,19.42
4929,157,174.0,174,19.716
5009,158,80.0,80,19.841
5037,159,28.0,28,19.885
5069,160,32.0,32,19.935
5153,161,84.0,84,20.066
5163,162,10.0,10,20.082
5209,163,46.0,46,20.153
5385,164,176.0,176,20.425
5419,165,34.0,34,20.477
5480,166,61.0,61,20.572
5505,167,25.0,25,20.611
5657,168,152.0,152,20.912
5806,169,149.0,149,21.362
5892,170,86.0,86,21.615
5907,171,15.0,15,21.666
5996,172,89.0,89,21.889
6039,173,43.0,43,22.005
6128,174,89.0,89,22.144
6325,175,197.0,197,27.466
6355,176,30.0,30,27.514
6608,177,253.0,253,27.931
6640,178,32.0,32,27.981
6744,179,104.0,104,28.141
6830,180,86.0,86,28.275
6854,181,24.0,24,28.333
6875,182,21.0,21,28.378
6922,183,47.0,47,28.554
6983,184,61.0,61,28.761
7161,185,178.0,178,29.267
7180,186,19.0,19,29.297
7219,187,39.0,39,29.363
7248,188,29.0,29,29.43
7417,189,169.0,169,29.691
7502,190,85.0,85,29.822
7653,191,151.0,151,30.055
7695,192,42.0,42,30.12
7812,193,117.0,117,30.301
7855,194,43.0,43,30.367
7944,195,89.0,89,30.546
8088,196,144.0,144,31.039
8194,197,106.0,106,36.635
8468,198,274.0,274,37.431
8504,199,36.0,36,37.487
8578,200,74.0,74,37.602
8709,201,131.0,131,37.808
8856,202,147.0,147,38.034
8977,203,121.0,121,38.221
9216,204,239.0,239,38.588
9350,205,134.0,134,38.794
9505,206,155.0,155,39.032
9726,207,221.0,221,39.755
9860,208,134.0,134,40.172
10037,209,177.0,177,40.668
10164,210,127.0,127,40.864
10199,211,35.0,35,40.918
10534,212,335.0,335,45.164
10869,213,335.0,335,45.685
11046,214,177.0,177,45.959
11296,215,250.0,250,46.889
11479,216,183.0,183,47.824
11764,217,285.0,285,48.301
11913,218,149.0,149,48.534
12282,219,369.0,369,49.135
12318,220,36.0,36,55.691
12495,221,177.0,177,56.262
12711,222,216.0,216,56.767
12902,223,191.0,191,57.068
13058,224,156.0,156,57.31
13324,225,266.0,266,57.827
13575,226,251.0,251,58.629
13691,227,116.0,116,58.867
13724,228,33.0,33,58.918
13977,229,253.0,253,59.31
14129,230,152.0,152,59.547
14337,231,208.0,208,64.364
14668,232,331.0,331,64.867
14819,233,151.0,151,65.09
14962,234,143.0,143,65.311
15429,235,467.0,467,66.035
15824,236,395.0,395,66.649
16115,237,291.0,291,67.097
16390,238,275.0,275,73.132
16751,239,361.0,361,73.705
17251,240,500.0,500,74.548
17698,241,447.0,447,75.877
18153,242,455.0,455,76.717
18476,243,323.0,323,83.312
18976,244,500.0,500,84.129
19103,245,127.0,127,84.314
19603,246,500.0,500,85.072
20021,247,418.0,418,86.402
20521,248,500.0,500,92.83
21021,249,500.0,500,94.155
21364,250,343.0,343,94.697
21656,251,292.0,292,95.159
21850,252,194.0,194,95.46
22350,253,500.0,500,96.803
22685,254,335.0,335,101.856
23185,255,500.0,500,103.231
23685,256,500.0,500,104.092
24150,257,465.0,465,104.821
24466,258,316.0,316,105.786
24852,259,386.0,386,112.536
24999,260,147.0,147,112.793
25416,261,417.0,417,113.443
25813,262,397.0,397,114.462
26044,263,231.0,231,114.965
26219,264,175.0,175,115.237
26391,265,172.0,172,115.504
26563,266,172.0,172,115.771
26907,267,344.0,344,121.963
27006,268,99.0,99,122.124
27311,269,305.0,305,122.609
27329,270,18.0,18,122.638
27563,271,234.0,234,123.001
27809,272,246.0,246,123.562
28136,273,327.0,327,124.543
28456,274,320.0,320,125.072
28697,275,241.0,241,131.138
28957,276,260.0,260,132.156
29299,277,342.0,342,132.745
29799,278,500.0,500,133.515
29951,279,152.0,152,133.749
30451,280,500.0,500,135.286
30951,281,500.0,500,141.085
31451,282,500.0,500,142.669
31951,283,500.0,500,143.446
32451,284,500.0,500,144.542
32951,285,500.0,500,149.701
33442,286,491.0,491,150.457
33890,287,448.0,448,151.759
34204,288,314.0,314,152.554
34602,289,398.0,398,153.168
35102,290,500.0,500,157.92
35474,291,372.0,372,158.983
35974,292,500.0,500,159.977
36409,293,435.0,435,160.9
36719,294,310.0,310,161.381
37072,295,353.0,353,165.582
37535,296,463.0,463,166.611
38035,297,500.0,500,167.782
38535,298,500.0,500,168.565
38902,299,367.0,367,169.225
39394,300,492.0,492,174.703
39739,301,345.0,345,175.335
40158,302,419.0,419,175.991
40441,303,283.0,283,176.631
40719,304,278.0,278,177.427
41038,305,319.0,319,181.494
41229,306,191.0,191,181.79
41425,307,196.0,196,182.1
41676,308,251.0,251,182.497
41989,309,313.0,313,183.415
42247,310,258.0,258,184.093
42420,311,173.0,173,184.389
42637,312,217.0,217,184.724
42872,313,235.0,235,185.095
43289,314,417.0,417,190.892
43782,315,493.0,493,191.752
44122,316,340.0,340,192.481
44536,317,414.0,414,193.133
44795,318,259.0,259,193.546
45295,319,500.0,500,198.892
45547,320,252.0,252,199.284
45825,321,278.0,278,199.72
46179,322,354.0,354,200.284
46522,323,343.0,343,201.162
47022,324,500.0,500,202.409
47291,325,269.0,269,206.16
47474,326,183.0,183,206.459
47780,327,306.0,306,206.953
48033,328,253.0,253,207.5
48243,329,210.0,210,208.171
48490,330,247.0,247,208.897
48679,331,189.0,189,209.268
48885,332,206.0,206,209.599
49181,333,296.0,296,214.138
49447,334,266.0,266,214.548
49580,335,133.0,133,214.796
49741,336,161.0,161,215.452
49885,337,144.0,144,215.931
50066,338,181.0,181,216.248
50224,339,158.0,158,216.492
50395,340,171.0,171,216.755
50609,341,214.0,214,217.085
50840,342,231.0,231,217.931
50990,343,150.0,150,218.216
51217,344,227.0,227,221.706
51402,345,185.0,185,221.994
51557,346,155.0,155,222.26
51676,347,119.0,119,222.443
51808,348,132.0,132,222.647
51971,349,163.0,163,222.897
52121,350,150.0,150,223.128
52262,351,141.0,141,223.346
52414,352,152.0,152,223.58
52567,353,153.0,153,224.122
52708,354,141.0,141,224.683
52865,355,157.0,157,225.205
52986,356,121.0,121,225.427
53133,357,147.0,147,225.734
53511,358,378.0,378,229.892
53689,359,178.0,178,230.166
53822,360,133.0,133,230.371
53985,361,163.0,163,230.622
54309,362,324.0,324,231.886
54560,363,251.0,251,232.355
54653,364,93.0,93,232.499
54783,365,130.0,130,232.7
54920,366,137.0,137,232.911
55190,367,270.0,270,233.327
55405,368,215.0,215,237.063
55489,369,84.0,84,237.317
55652,370,163.0,163,237.813
55806,371,154.0,154,238.309
55979,372,173.0,173,238.663
56479,373,500.0,500,239.466
56739,374,260.0,260,239.876
56930,375,191.0,191,240.345
57430,376,500.0,500,245.544
57634,377,204.0,204,245.886
57936,378,302.0,302,246.383
58093,379,157.0,157,246.626
58351,380,258.0,258,247.024
58610,381,259.0,259,247.424
58820,382,210.0,210,247.999
59294,383,474.0,474,249.181
59471,384,177.0,177,254.187
59785,385,314.0,314,255.373
60037,386,252.0,252,255.791
60205,387,168.0,168,256.051
60473,388,268.0,268,256.467
60774,389,301.0,301,256.997
61123,390,349.0,349,258.286
61502,391,379.0,379,263.437
61665,392,163.0,163,264.095
61868,393,203.0,203,264.764
62086,394,218.0,218,265.126
62322,395,236.0,236,265.49
62575,396,253.0,253,265.88
62787,397,212.0,212,266.207
62969,398,182.0,182,266.607
63187,399,218.0,218,267.495
63381,400,194.0,194,268.088
63552,401,171.0,171,272.307
63782,402,230.0,230,272.849
64030,403,248.0,248,273.232
64219,404,189.0,189,273.523
64449,405,230.0,230,273.885
64682,406,233.0,233,274.515
64889,407,207.0,207,275.02
65100,408,211.0,211,275.347
65270,409,170.0,170,275.609
65485,410,215.0,215,275.942
65683,411,198.0,198,280.707
65846,412,163.0,163,280.958
66127,413,281.0,281,281.392
66360,414,233.0,233,281.839
66597,415,237.0,237,282.808
66818,416,221.0,221,283.286
66985,417,167.0,167,283.543
67204,418,219.0,219,283.882
67464,419,260.0,260,284.283
67738,420,274.0,274,289.87
67929,421,191.0,191,290.17
68188,422,259.0,259,290.571
68344,423,156.0,156,290.817
68580,424,236.0,236,291.189
68828,425,248.0,248,291.747
69130,426,302.0,302,293.164
69340,427,210.0,210,293.519
69555,428,215.0,215,293.856
69760,429,205.0,205,297.841
70082,430,322.0,322,298.34
70368,431,286.0,286,298.815
70624,432,256.0,256,299.601
70941,433,317.0,317,300.351
71249,434,308.0,308,300.83
71574,435,325.0,325,301.332
71929,436,355.0,355,304.942
72429,437,500.0,500,305.724
72929,438,500.0,500,307.176
73171,439,242.0,242,307.565
73583,440,412.0,412,308.227
73920,441,337.0,337,313.648
74158,442,238.0,238,314.047
74551,443,393.0,393,314.864
75007,444,456.0,456,315.572
75159,445,152.0,152,315.808
75467,446,308.0,308,316.642
75902,447,435.0,435,321.716
76160,448,258.0,258,322.286
76522,449,362.0,362,323.392
77022,450,500.0,500,324.465
77522,451,500.0,500,325.278
78022,452,500.0,500,329.777
78522,453,500.0,500,330.821
78768,454,246.0,246,331.205
79268,455,500.0,500,332.679
79647,456,379.0,379,333.518
80147,457,500.0,500,339.087
80647,458,500.0,500,340.1
81147,459,500.0,500,341.184
81647,460,500.0,500,341.946
82147,461,500.0,500,346.948
82647,462,500.0,500,347.724
83147,463,500.0,500,348.812
83647,464,500.0,500,350.026
84147,465,500.0,500,354.279
84647,466,500.0,500,355.217
85061,467,414.0,414,355.857
85237,468,176.0,176,356.143
85559,469,322.0,322,356.839
85937,470,378.0,378,357.849
86437,471,500.0,500,362.866
86937,472,500.0,500,364.306
87437,473,500.0,500,365.321
87937,474,500.0,500,366.096
88437,475,500.0,500,371.173
88937,476,500.0,500,371.889
89437,477,500.0,500,373.639
89937,478,500.0,500,374.422
90437,479,500.0,500,379.451
90937,480,500.0,500,380.23
91437,481,500.0,500,381.714
91937,482,500.0,500,382.602
92260,483,323.0,323,386.586
92708,484,448.0,448,387.321
92891,485,183.0,183,387.606
93188,486,297.0,297,388.134
93569,487,381.0,381,389.189
93949,488,380.0,380,389.788
94249,489,300.0,300,393.853
94749,490,500.0,500,395.421
95019,491,270.0,270,395.87
95338,492,319.0,319,396.366
95838,493,500.0,500,397.655
96228,494,390.0,390,398.315
96466,495,238.0,238,402.318
96966,496,500.0,500,403.392
97274,497,308.0,308,404.308
97680,498,406.0,406,404.968
98180,499,500.0,500,405.75
