step,episode,episode_return,episode_length,wall_clock_s
999,1,-49.953860378388775,999,19.31
1998,2,-51.49470781452222,999,36.975
2997,3,-50.22604683022598,999,54.8
3996,4,-48.92377110397523,999,70.279
4995,5,-48.903335953057415,999,88.08
5663,6,62.05065002625033,668,99.985
6662,7,-65.61015295847136,999,118.709
7661,8,-74.36267452716898,999,136.358
8660,9,-81.38089680817846,999,154.736
9659,10,-84.79730258301387,999,173.286
10658,11,-79.86832714435126,999,189.642
11476,12,39.77786892210572,818,202.117
12475,13,-87.90807094749516,999,222.237
13474,14,-91.2748094648958,999,238.463
14473,15,-93.19065380890069,999,255.614
15472,16,-91.3380490478814,999,271.23
16471,17,-98.94702771371,999,288.211
17470,18,-99.5885522955726,999,303.717
18469,19,-98.02774101217364,999,321.448
19468,20,-99.38363145382756,999,339.966
20467,21,-99.6296306596352,999,360.239
21466,22,-99.8999999999986,999,379.448
22465,23,-99.6879035524574,999,400.157
23464,24,-99.86228319639001,999,414.41
24463,25,-99.8999999999986,999,433.966
25462,26,-99.8999999999986,999,451.565
26461,27,-99.8802884624011,999,470.548
27460,28,-99.8999999999986,999,486.094
28459,29,-99.8999999999986,999,501.146
29458,30,-99.8999999999986,999,522.33
30457,31,-99.8999999999986,999,537.506
31456,32,-99.8999999999986,999,555.735
32455,33,-99.8999999999986,999,576.447
33454,34,-99.8999999999986,999,595.922
34453,35,-99.8999999999986,999,618.269
35452,36,-99.8999999999986,999,640.387
36451,37,-99.8999999999986,999,661.633
37450,38,-99.8999999999986,999,682.357
38449,39,-99.8999999999986,999,701.484
39448,40,-99.8999999999986,999,720.177
40447,41,-99.8999999999986,999,742.556
41446,42,-99.8999999999986,999,763.207
42445,43,-99.8999999999986,999,785.504
43444,44,-99.8999999999986,999,806.015
44443,45,-99.8999999999986,999,828.281
45442,46,-99.8999999999986,999,852.502
46441,47,-99.8999999999986,999,876.875
47440,48,-99.8999999999986,999,897.214
48439,49,-99.8999999999986,999,918.413
49438,50,-99.8999999999986,999,939.75
50437,51,-99.5497690206584,999,958.498
51436,52,-99.31454411894649,999,981.657
52435,53,-99.64324456558445,999,1004.222
53434,54,-99.69787151826581,999,1027.593
54433,55,-99.88832374263103,999,1048.867
55432,56,-99.8999999999986,999,1070.369
56431,57,-99.8999999999986,999,1091.376
57430,58,-99.8999999999986,999,1110.693
58429,59,-99.8999999999986,999,1133.893
59428,60,-99.8999999999986,999,1151.593
60427,61,-99.8999999999986,999,1167.55
61426,62,-99.8999999999986,999,1186.877
62425,63,-99.8999999999986,999,1209.502
63424,64,-99.8999999999986,999,1228.527
64423,65,-99.8999999999986,999,1248.398
65422,66,-99.8999999999986,999,1266.946
66421,67,-99.8999999999986,999,1287.7
67420,68,-99.8999999999986,999,1310.783
68419,69,-99.8999999999986,999,1334.084
69418,70,-99.8999999999986,999,1356.183
70417,71,-99.8999999999986,999,1377.769
71416,72,-99.8999999999986,999,1398.305
