step,episode,episode_return,episode_length,wall_clock_s
200,1,-914.0169677620048,200,0.586
400,2,-1304.1732658650728,200,0.914
600,3,-1070.9678465746226,200,1.385
800,4,-1419.38820042995,200,1.965
1000,5,-981.9358301422777,200,2.362
1200,6,-1049.6418208011446,200,2.69
1400,7,-1253.7263287905052,200,3.02
1600,8,-1224.8506107525754,200,3.35
1800,9,-1521.1511537880153,200,3.676
2000,10,-1249.6589927408174,200,4.244
2200,11,-1299.5662293180026,200,10.595
2400,12,-869.3588793382237,200,11.156
2600,13,-1749.2800089469195,200,11.726
2800,14,-876.2149392785718,200,12.244
3000,15,-1254.8804113176195,200,12.566
3200,16,-926.6526238499811,200,12.895
3400,17,-1169.1879418862684,200,13.222
3600,18,-915.1019375059586,200,13.549
3800,19,-1489.5952274955425,200,13.877
4000,20,-913.894351049572,200,14.235
4200,21,-962.7005817266748,200,20.138
4400,22,-749.0324529150705,200,20.465
4600,23,-1186.6715059749436,200,20.791
4800,24,-1015.2226798865449,200,21.48
5000,25,-1315.0693431697428,200,21.824
5200,26,-1191.77269522603,200,22.123
5400,27,-1436.9251825998113,200,22.451
5600,28,-1311.6497800819454,200,22.779
5800,29,-1061.3491072282145,200,23.142
6000,30,-1599.0903344911005,200,23.795
6200,31,-956.9650073136021,200,29.931
6400,32,-1297.2372538242187,200,30.356
6600,33,-1240.6084536116898,200,30.643
6800,34,-889.533821589881,200,30.968
7000,35,-1086.709642486514,200,31.293
7200,36,-1279.3474416130923,200,31.617
7400,37,-1369.7453418476568,200,31.941
7600,38,-946.6523375543348,200,32.53
7800,39,-1048.0944762772353,200,33.175
8000,40,-1187.3978070031303,200,33.509
8200,41,-1044.146933228073,200,39.935
8400,42,-1105.2451177361827,200,40.365
8600,43,-1236.4278884826333,200,40.726
8800,44,-1406.811718214177,200,41.053
9000,45,-889.2776246860577,200,41.381
9200,46,-966.2904391719169,200,41.709
9400,47,-968.5664567821626,200,42.235
9600,48,-867.9274447660699,200,42.876
9800,49,-1421.1683272173689,200,43.244
10000,50,-973.8136607436683,200,43.572
10200,51,-1147.6359239555281,200,43.899
10400,52,-1316.1648109166888,200,50.512
10600,53,-1091.9996638444895,200,50.841
10800,54,-897.4485457655542,200,51.168
11000,55,-1448.2394845095373,200,51.92
11200,56,-853.5337321166168,200,52.582
11400,57,-980.0860113021922,200,52.924
11600,58,-1188.9052819924277,200,53.266
11800,59,-868.8270732299345,200,53.606
12000,60,-863.7116720035589,200,53.95
12200,61,-889.6970765592472,200,54.813
12400,62,-982.286546378373,200,60.804
12600,63,-897.4791105894448,200,61.143
12800,64,-1379.9500840510816,200,61.472
13000,65,-1078.4672869795838,200,61.781
13200,66,-980.6137398949696,200,62.116
13400,67,-1477.4741328812618,200,62.452
13600,68,-1001.4661449881692,200,62.9
13800,69,-830.0675475974922,200,63.539
14000,70,-979.3500782248103,200,64.261
14200,71,-1408.86019919764,200,64.586
14400,72,-972.5431498429213,200,70.858
14600,73,-1037.0778122584832,200,71.182
14800,74,-902.189267303183,200,71.506
15000,75,-895.4267891718475,200,71.833
15200,76,-1416.0817416701573,200,72.277
15400,77,-882.5953481301606,200,72.863
15600,78,-1193.2586425391096,200,73.421
15800,79,-1012.5960946991156,200,73.708
16000,80,-974.6676316222499,200,74.032
16200,81,-890.0661436616657,200,74.355
16400,82,-879.3000256391008,200,80.012
16600,83,-898.9835133483335,200,80.34
16800,84,-856.8591190022732,200,80.666
17000,85,-1225.4343658689381,200,80.996
17200,86,-976.6462606954334,200,81.323
17400,87,-753.8588947354939,200,81.797
17600,88,-749.8937048364244,200,82.362
17800,89,-1252.5617327542002,200,82.952
18000,90,-1224.6516903208362,200,83.281
18200,91,-1006.5139212854432,200,83.697
18400,92,-1029.0905417873353,200,84.102
18600,93,-1334.841047525851,200,89.039
18800,94,-1423.1008684804237,200,89.506
19000,95,-889.3787434235263,200,90.189
19200,96,-995.9952285822077,200,90.551
19400,97,-827.7756262849636,200,90.878
19600,98,-1590.7344220239079,200,91.205
19800,99,-926.3111758794247,200,91.532
20000,100,-1091.7120167840158,200,91.858
20200,101,-764.1945361477842,200,92.399
20400,102,-942.4148735205218,200,93.052
20600,103,-1100.128953839468,200,98.824
20800,104,-914.1809287935881,200,99.46
21000,105,-914.9318580921548,200,100.122
21200,106,-1029.5694717000936,200,100.581
21400,107,-949.2262034803416,200,100.949
21600,108,-887.0519079630047,200,101.353
21800,109,-1112.154060288138,200,101.681
22000,110,-964.0008310509207,200,102.009
22200,111,-1088.652134617185,200,102.336
22400,112,-889.5171501153445,200,102.663
22600,113,-993.9023750255357,200,107.429
22800,114,-873.8498109669439,200,107.985
23000,115,-1485.89445844611,200,108.564
23200,116,-875.85345445355,200,109.066
23400,117,-640.5374948229968,200,109.362
23600,118,-996.0391371840741,200,109.691
23800,119,-744.2735426812135,200,110.021
24000,120,-929.300180157918,200,110.353
24200,121,-1031.829216103374,200,110.683
24400,122,-1093.6097522431105,200,111.016
24600,123,-756.967304560125,200,117.456
24800,124,-881.7948321421518,200,117.835
25000,125,-755.8196422074176,200,118.161
25200,126,-818.9497715424216,200,118.486
25400,127,-760.005451002467,200,118.813
25600,128,-876.6526187327648,200,119.414
25800,129,-994.4917306191202,200,119.969
26000,130,-910.9776145980668,200,120.347
26200,131,-765.9675262227664,200,120.68
26400,132,-635.4256455058328,200,121.007
26600,133,-776.4533240300196,200,121.334
26800,134,-1002.6368878109926,200,127.55
27000,135,-851.1895140922179,200,127.878
27200,136,-868.6668913224216,200,128.205
27400,137,-640.2688462852226,200,128.532
27600,138,-762.0610000821192,200,128.878
27800,139,-1147.4220146524679,200,129.224
28000,140,-750.6593038940739,200,129.553
28200,141,-780.1535329331434,200,129.95
28400,142,-777.310207001989,200,130.604
28600,143,-1433.2052525264853,200,131.08
28800,144,-760.9134216341836,200,137.654
29000,145,-889.0472520242718,200,138.134
29200,146,-995.5246253350234,200,138.496
29400,147,-1129.2651009223523,200,138.856
29600,148,-781.0202533177275,200,139.185
29800,149,-739.2445629714688,200,139.514
30000,150,-804.3734224639154,200,139.843
30200,151,-884.7432361445361,200,140.423
30400,152,-508.3604397653678,200,141.004
30600,153,-758.3930853844738,200,141.336
30800,154,-1086.35215019783,200,146.26
31000,155,-1013.5443431526511,200,147.106
31200,156,-766.6792967777075,200,147.762
31400,157,-637.8062626449664,200,148.09
31600,158,-740.5533987389638,200,148.416
31800,159,-635.1262605542835,200,148.743
32000,160,-996.8824803238053,200,149.185
32200,161,-859.1735832729006,200,150.03
32400,162,-1080.1225035193072,200,150.495
32600,163,-757.486464039639,200,150.827
32800,164,-541.7260973564833,200,155.446
33000,165,-945.882891276389,200,156.284
33200,166,-761.6320907732991,200,156.644
33400,167,-878.992470046374,200,157.113
33600,168,-873.5345787676624,200,157.496
33800,169,-875.2454337575251,200,157.824
34000,170,-755.3886235494114,200,158.153
34200,171,-756.8783136429759,200,158.481
34400,172,-637.7055556638988,200,158.808
34600,173,-639.4820417337216,200,159.364
34800,174,-554.0015433103133,200,159.936
35000,175,-675.6018296035862,200,165.298
35200,176,-803.4326152901392,200,165.627
35400,177,-506.4089223690001,200,165.954
35600,178,-775.0137830714324,200,166.281
35800,179,-729.6956358678793,200,166.903
36000,180,-513.2845677268034,200,167.752
36200,181,-641.400759945942,200,168.197
36400,182,-870.1182078778409,200,168.525
36600,183,-766.2678238785414,200,168.853
36800,184,-889.4108211485152,200,169.181
37000,185,-649.8229101166366,200,174.962
37200,186,-642.9704286498015,200,175.293
37400,187,-758.0481045122053,200,175.632
37600,188,-685.4463372213561,200,175.971
37800,189,-931.2378559983276,200,176.311
38000,190,-749.8299139690092,200,176.728
38200,191,-764.3624750383734,200,177.608
38400,192,-755.667639725178,200,178.35
38600,193,-763.6530990671376,200,178.684
38800,194,-633.0708890203911,200,179.013
39000,195,-641.2221883756775,200,183.956
39200,196,-517.6498157160174,200,184.4
39400,197,-772.4253061841542,200,184.728
39600,198,-427.9388323625283,200,185.061
39800,199,-733.9041420830317,200,185.39
40000,200,-643.5486501263017,200,185.717
40200,201,-821.2663088562987,200,186.198
40400,202,-617.5747156567875,200,186.767
40600,203,-757.9512780581015,200,187.325
40800,204,-596.8859060711737,200,187.652
41000,205,-595.3605468740087,200,192.672
41200,206,-942.7149138119746,200,193.15
41400,207,-516.809316912358,200,193.74
41600,208,-884.2222531512435,200,194.304
41800,209,-916.8694220320871,200,194.815
42000,210,-892.600064555895,200,195.139
42200,211,-756.2864851443129,200,195.467
42400,212,-396.7027117424885,200,195.794
42600,213,-638.6842289521865,200,196.122
42800,214,-639.8207383428982,200,196.45
43000,215,-389.8046941032863,200,196.927
43200,216,-643.8219927637116,200,201.751
43400,217,-383.3072693056557,200,202.238
43600,218,-509.42765041279216,200,202.565
43800,219,-783.5760664823638,200,202.892
44000,220,-909.7152535489624,200,203.22
44200,221,-783.3827749240019,200,203.619
44400,222,-389.1350171895453,200,204.427
44600,223,-896.8061683560853,200,204.787
44800,224,-648.6911523927133,200,205.117
45000,225,-914.850115474526,200,205.446
45200,226,-656.1867900709519,200,208.774
45400,227,-640.922954302781,200,209.064
45600,228,-512.5385120237119,200,209.392
45800,229,-653.1908350924748,200,209.721
46000,230,-876.1724336856314,200,210.076
46200,231,-741.4898694477823,200,210.898
46400,232,-638.9317630578566,200,211.434
46600,233,-641.1194438041372,200,211.726
46800,234,-872.8289398834382,200,212.054
47000,235,-756.1447900922022,200,212.381
47200,236,-669.3063778409064,200,216.446
47400,237,-650.8334768497388,200,216.774
47600,238,-679.9445715014722,200,217.107
47800,239,-767.9379545504675,200,217.589
48000,240,-516.5967590171692,200,218.219
48200,241,-770.5853511035781,200,218.705
48400,242,-639.7364642056048,200,219.035
48600,243,-647.9027086132015,200,219.362
48800,244,-1134.9327253107028,200,219.69
49000,245,-389.5867932075373,200,220.019
49200,246,-635.0501792085372,200,224.213
49400,247,-519.1840730700135,200,224.778
49600,248,-635.5688018335427,200,225.354
49800,249,-669.058217197437,200,225.691
50000,250,-881.2111019523343,200,226.02
50200,251,-533.1436298880135,200,226.653
50400,252,-646.7715192684007,200,226.997
50600,253,-651.2352930508331,200,227.326
50800,254,-631.9191890501385,200,227.654
51000,255,-387.48705768322935,200,227.981
51200,256,-267.0329409319485,200,228.721
51400,257,-512.7486603895691,200,233.773
51600,258,-253.87947045859804,200,234.102
51800,259,-686.0064644117448,200,234.472
52000,260,-491.5871202773095,200,235.327
52200,261,-407.0652748228005,200,236.131
52400,262,-682.5713154593524,200,236.466
52600,263,-262.0961417746638,200,236.796
52800,264,-258.91151542417015,200,237.505
53000,265,-525.242663092928,200,237.859
53200,266,-644.6331638489248,200,238.192
53400,267,-258.8395011599642,200,242.186
53600,268,-266.46164767654017,200,242.984
53800,269,-791.8735219905661,200,243.318
54000,270,-705.2073047983583,200,243.652
54200,271,-861.8059620744144,200,243.98
54400,272,-254.98616755409026,200,244.331
54600,273,-496.1289663327715,200,244.662
54800,274,-420.28808741567985,200,244.991
55000,275,-639.5622821172665,200,245.397
55200,276,-375.0968725333356,200,246.148
55400,277,-514.2704929912487,200,250.464
55600,278,-389.52514243392665,200,250.79
55800,279,-504.001552842558,200,251.116
56000,280,-414.31394900063395,200,251.474
56200,281,-667.7105737737791,200,252.034
56400,282,-558.4236456071769,200,252.515
56600,283,-133.47825763762052,200,252.844
56800,284,-133.2735737900879,200,253.174
57000,285,-134.57169098716673,200,253.704
57200,286,-394.92763156383864,200,254.139
57400,287,-263.02815497671253,200,257.842
57600,288,-532.4888615158213,200,258.17
57800,289,-259.94828074170334,200,258.496
58000,290,-391.4358913007506,200,258.971
58200,291,-5.648619365773309,200,259.529
58400,292,-503.57582736494527,200,260.109
58600,293,-127.33410089507217,200,260.533
58800,294,-257.3778144097955,200,260.86
59000,295,-406.15558664337743,200,261.187
59200,296,-831.5830021096315,200,261.514
59400,297,-3.3867830945048074,200,266.218
59600,298,-269.83239778736606,200,266.795
59800,299,-262.8026296069593,200,267.222
60000,300,-135.66770017864732,200,267.55
60200,301,-384.18068745888866,200,267.878
60400,302,-253.42247360536192,200,268.206
60600,303,-131.46406521593062,200,268.533
60800,304,-129.3511622619193,200,269.18
61000,305,-258.34453109487487,200,270.025
61200,306,-134.50342687246336,200,270.454
61400,307,-518.402665719925,200,270.782
61600,308,-519.8645206276957,200,275.857
61800,309,-225.22410045043,200,276.187
62000,310,-407.60812038534056,200,276.515
62200,311,-259.3497082034298,200,276.844
62400,312,-631.2168386137048,200,277.172
62600,313,-265.24156054905166,200,277.665
62800,314,-799.9918678252177,200,278.509
63000,315,-263.71782291437944,200,279.295
63200,316,-131.05929099033153,200,279.637
63400,317,-132.7587679196083,200,279.978
63600,318,-393.84440905952505,200,285.464
63800,319,-386.031397525731,200,286.029
64000,320,-555.083094836496,200,286.367
64200,321,-387.4602067918697,200,286.677
64400,322,-137.9812841234044,200,287.006
64600,323,-132.96237006805862,200,287.624
64800,324,-434.3698501957854,200,288.299
65000,325,-387.8505481607579,200,288.62
65200,326,-1091.2268168211165,200,288.949
65400,327,-127.19211175447765,200,289.277
65600,328,-139.830544457759,200,294.409
65800,329,-266.44620823102554,200,294.738
66000,330,-263.32543197231877,200,295.066
66200,331,-260.0431744714057,200,295.868
66400,332,-598.1831671695068,200,296.378
66600,333,-253.64477460118627,200,296.706
66800,334,-128.961282335131,200,297.034
67000,335,-533.1376830664703,200,297.361
67200,336,-133.8406311419098,200,297.688
67400,337,-393.95014974902136,200,298.36
67600,338,-132.81078430895204,200,303.099
67800,339,-130.43040612828776,200,303.431
