step,episode,episode_return,episode_length,wall_clock_s
200,1,-1071.9307048996711,200,0.012
400,2,-1508.1563816791627,200,0.019
600,3,-1264.817177206974,200,0.027
800,4,-975.69675598256,200,0.034
1000,5,-972.1106661589766,200,0.199
1200,6,-1417.5139440921223,200,3.422
1400,7,-1507.0055756611955,200,6.08
1600,8,-1426.2075936984024,200,9.109
1800,9,-1744.6944882249923,200,12.49
2000,10,-1325.4009338394244,200,15.773
2200,11,-1796.7234314536345,200,18.889
2400,12,-1312.1259497340388,200,21.978
2600,13,-1196.9212324041787,200,25.254
2800,14,-1283.1323520706865,200,28.29
3000,15,-1015.711086098427,200,30.987
3200,16,-754.446722742326,200,34.051
3400,17,-1026.6255359259173,200,37.141
3600,18,-794.8034867440242,200,39.691
3800,19,-3.4216705151469053,200,42.349
4000,20,-549.9104163692652,200,44.802
4200,21,-132.91115389632097,200,47.83
4400,22,-129.01012839386658,200,50.778
4600,23,-130.09513962495757,200,53.39
4800,24,-124.47205394831262,200,55.83
5000,25,-252.74064717061012,200,58.83
5200,26,-123.6827130189667,200,62.028
5400,27,-248.34419638870503,200,65.419
5600,28,-124.10104419585876,200,67.712
5800,29,-1.8320956273715252,200,69.925
6000,30,-116.93775137561796,200,72.452
6200,31,-126.05098356191098,200,74.48
6400,32,-236.5104285289918,200,76.789
6600,33,-122.78726340576914,200,78.924
6800,34,-124.16666286513862,200,80.989
7000,35,-123.44160460494165,200,82.923
7200,36,-123.44265918556205,200,84.865
7400,37,-2.0288219233011384,200,86.844
7600,38,-0.9996945118939894,200,89.012
7800,39,-123.68969584442256,200,91.046
8000,40,-251.5458310902842,200,93.04
8200,41,-118.6997374544996,200,95.068
8400,42,-1.5395229024664405,200,97.017
8600,43,-129.5852041974649,200,99.095
8800,44,-119.5910467308766,200,101.463
9000,45,-245.6796433815174,200,103.822
9200,46,-226.51193204397194,200,106.135
9400,47,-337.48617499548476,200,108.361
9600,48,-347.0423448249409,200,110.608
9800,49,-255.89631442705294,200,113.015
10000,50,-228.5235818383161,200,115.335
10200,51,-1.1784171426136438,200,117.818
10400,52,-114.45222272738647,200,120.442
10600,53,-118.82555387339315,200,122.929
10800,54,-2.061397641612691,200,125.808
11000,55,-320.20417522132067,200,128.275
11200,56,-129.81320890037088,200,130.656
11400,57,-121.56750129103723,200,133.15
11600,58,-117.86427477852094,200,135.732
11800,59,-279.2701996077146,200,137.811
12000,60,-126.6572934590929,200,139.876
12200,61,-122.13767272260341,200,141.902
12400,62,-239.45413921891662,200,143.874
12600,63,-117.32228468075786,200,145.757
12800,64,-242.43919922898922,200,147.676
13000,65,-234.1873998265996,200,149.604
13200,66,-128.9934612319422,200,151.644
13400,67,-116.9976818505239,200,153.702
13600,68,-119.27113726903971,200,155.656
13800,69,-116.60912998277124,200,157.588
14000,70,-248.4684043981298,200,159.801
14200,71,-2.4533423252522506,200,161.946
14400,72,-250.6605613109334,200,163.955
14600,73,-4.442494961415314,200,166.185
14800,74,-304.27860102342385,200,168.744
15000,75,-3.8743722888102936,200,171.023
15200,76,-354.09263884148635,200,173.34
15400,77,-239.1344226702291,200,175.575
15600,78,-120.24889751705419,200,177.905
15800,79,-288.5574754137503,200,180.162
16000,80,-244.59788120277827,200,182.555
16200,81,-125.1950044267239,200,185.352
16400,82,-1.7057850846363634,200,188.363
16600,83,-118.81926602466307,200,191.055
16800,84,-121.53835363751026,200,193.476
17000,85,-232.62408917708083,200,196.051
17200,86,-124.66772123506328,200,198.606
17400,87,-120.85019800208991,200,201.067
17600,88,-226.2419773640249,200,203.496
17800,89,-123.81549205858643,200,206.053
18000,90,-229.4434693231548,200,208.894
18200,91,-237.81475769682186,200,211.696
18400,92,-238.4423097325165,200,214.251
18600,93,-122.69965112813416,200,216.958
18800,94,-129.31079298138079,200,220.029
19000,95,-130.4513405630523,200,223.538
19200,96,-117.64580344589878,200,226.548
19400,97,-1.382988207083104,200,229.462
19600,98,-367.1860151800937,200,232.987
19800,99,-337.50140826627114,200,235.845
20000,100,-238.79911521189715,200,238.391
20200,101,-122.39427001213943,200,240.882
20400,102,-124.64568082010337,200,243.397
20600,103,-128.12708613170722,200,246.474
20800,104,-306.8475008189967,200,249.341
21000,105,-1.1076530300419873,200,252.692
21200,106,-116.61363466705984,200,255.521
21400,107,-242.97642548573808,200,258.051
21600,108,-231.18549318154024,200,260.859
21800,109,-228.6316280632298,200,263.95
22000,110,-227.59818152177002,200,266.951
22200,111,-245.36885735313643,200,269.107
22400,112,-225.1697238763296,200,271.004
22600,113,-227.67768995364463,200,272.987
22800,114,-0.7372500949292925,200,274.958
23000,115,-122.71506333424293,200,277.14
23200,116,-120.6590175027177,200,279.116
23400,117,-0.7743973580028723,200,281.188
23600,118,-233.90381506390833,200,283.313
23800,119,-118.89589543882398,200,285.31
24000,120,-1.0192180978807237,200,287.195
24200,121,-122.72767497332853,200,289.467
24400,122,-117.29844404046405,200,292.1
24600,123,-116.28764596517557,200,294.0
24800,124,-124.07291287557915,200,296.068
25000,125,-244.59413825910823,200,298.071
25200,126,-124.49472315266824,200,300.142
25400,127,-343.0139333161703,200,302.086
25600,128,-0.7823119056292401,200,303.917
25800,129,-240.52433155772542,200,305.794
26000,130,-118.61841296062666,200,307.727
26200,131,-118.20140832006267,200,309.631
26400,132,-118.82532113122376,200,311.727
26600,133,-124.01582318103198,200,313.755
26800,134,-1.1470739886085435,200,315.596
27000,135,-125.92687239631086,200,317.465
27200,136,-117.47421091488107,200,319.986
27400,137,-233.42580744475873,200,323.005
27600,138,-113.40506030175135,200,326.05
27800,139,-121.21067963064016,200,329.116
28000,140,-222.67896625352842,200,332.614
28200,141,-0.6693839437116776,200,335.458
28400,142,-233.1667089749082,200,338.488
28600,143,-223.33867733770165,200,341.712
28800,144,-122.00228213683837,200,344.797
29000,145,-2.0132850003998706,200,347.806
29200,146,-125.63356163920912,200,350.88
29400,147,-0.8869730414792847,200,353.612
29600,148,-129.6444699703685,200,356.69
29800,149,-243.672325905298,200,360.026
30000,150,-121.16636159108785,200,362.817
30200,151,-227.53661433577938,200,365.535
30400,152,-247.35430840058834,200,367.839
30600,153,-127.74744209329555,200,369.768
30800,154,-1.829903854695097,200,372.023
31000,155,-341.79125440992283,200,374.133
31200,156,-120.18658790384046,200,376.084
31400,157,-120.50395687639593,200,378.063
31600,158,-5.645688341250295,200,380.019
31800,159,-121.80202513574494,200,381.914
32000,160,-122.56161312788706,200,383.838
32200,161,-5.308175914823601,200,385.7
32400,162,-239.63371062441976,200,387.568
32600,163,-122.69855752625574,200,389.465
32800,164,-121.10728250555354,200,391.519
33000,165,-126.43805087187651,200,393.585
33200,166,-245.79278526541685,200,395.505
33400,167,-2.6180038199167215,200,397.331
33600,168,-126.46071102528104,200,399.439
33800,169,-118.56522915164977,200,401.675
34000,170,-119.39084225194374,200,403.889
34200,171,-274.4869712187317,200,406.213
34400,172,-121.99393473310354,200,408.276
34600,173,-132.0948944426144,200,410.484
34800,174,-121.65716332674594,200,412.773
