step,episode,episode_return,episode_length,wall_clock_s
999,1,-33.52377062220096,999,0.122
1998,2,-32.33001931982327,999,0.376
2997,3,-34.445109972502934,999,0.496
3996,4,-34.106592411343605,999,0.616
4995,5,-32.48247813779098,999,0.735
5994,6,-33.74370078041806,999,0.855
6993,7,-33.799926265622176,999,0.945
7992,8,-33.494346266497686,999,1.042
8991,9,-32.96103770022489,999,1.155
9990,10,-34.57143114881054,999,1.268
10989,11,-10.353587111190564,999,12.821
11988,12,-9.288755266031146,999,23.929
12987,13,-8.543222042309056,999,35.177
13986,14,-8.729055262956358,999,46.068
14985,15,-8.529911871793141,999,58.011
15984,16,-8.958112343996696,999,68.761
16983,17,-8.998500488697047,999,83.276
17982,18,-9.025340902374163,999,93.598
18981,19,-8.83380067230513,999,106.151
19980,20,-8.5912379991327,999,119.791
20979,21,-8.559248630274025,999,131.561
21978,22,-9.148388516662974,999,142.8
22977,23,-9.559979486758111,999,154.612
23976,24,-8.875388666630384,999,164.505
24975,25,-8.661893778534953,999,176.796
25974,26,-9.199148275288831,999,188.121
26973,27,-8.847806522659328,999,201.033
27972,28,-9.364854629889084,999,212.609
28971,29,-9.185444542665481,999,226.215
29970,30,-9.299844052001703,999,239.061
30969,31,-8.886837479955245,999,252.352
31968,32,-8.320500224223693,999,266.345
32967,33,-8.783070604585204,999,279.046
33966,34,-9.084428435492354,999,290.759
34965,35,-9.999745808689903,999,302.362
35964,36,-9.121991329029656,999,313.566
36963,37,-8.357071205713288,999,324.345
37962,38,-9.385967414652725,999,337.554
38961,39,-9.057211616661759,999,349.837
39960,40,-8.760317166591184,999,360.718
40959,41,-9.122563613024218,999,374.816
41958,42,-8.776517790920625,999,386.856
42957,43,-9.766202823496744,999,400.592
43956,44,-8.653496352352981,999,411.832
44955,45,-9.504477753724316,999,422.914
45954,46,-9.205243079408358,999,434.08
46953,47,-8.702917701846282,999,444.684
47952,48,-9.046473312710903,999,456.893
48951,49,-9.032702716341099,999,471.356
49950,50,-9.456449104856539,999,482.342
50949,51,-9.46058586218521,999,493.684
51948,52,-9.804987435917187,999,506.472
52947,53,-9.964014620570994,999,520.64
53946,54,-9.258459298670685,999,532.667
54945,55,-9.02391047351564,999,546.034
55944,56,-9.33619760250468,999,559.396
56943,57,-9.22763413447151,999,572.735
57942,58,-8.338787118230151,999,584.176
58941,59,-9.046959790672275,999,597.887
59940,60,-9.290168967571732,999,610.839
60939,61,-9.621187574672286,999,624.52
61938,62,-9.096651826183392,999,639.558
62937,63,-9.083757765179291,999,652.132
63936,64,-8.395910224434692,999,665.518
64935,65,-8.482025932325035,999,677.556
65934,66,-9.183948252036224,999,688.873
66933,67,-8.747812613641043,999,703.115
67932,68,-9.046174156447535,999,715.163
68931,69,-9.073369546521159,999,729.384
69930,70,-8.701130820080397,999,742.065
70929,71,-9.348604834652152,999,754.091
71928,72,-9.192502663138274,999,767.021
72927,73,-8.656294286546236,999,777.316
73926,74,-8.718802808952596,999,790.222
74925,75,-9.285271059194915,999,803.429
75924,76,-9.392208619196062,999,817.665
76923,77,-9.218939068401317,999,828.299
77922,78,-9.297553198175716,999,841.294
78921,79,-9.176977167040395,999,855.362
79920,80,-9.382964652767463,999,869.644
80919,81,-8.671513795047076,999,881.336
81918,82,-8.594272644428939,999,893.976
82917,83,-9.265786159516805,999,908.305
83916,84,-8.986653506941346,999,921.17
84915,85,-8.234024315940198,999,934.495
85914,86,-8.94671734196279,999,945.714
86913,87,-8.112459743733497,999,958.795
87912,88,-9.097300478549926,999,971.359
88911,89,-9.070125029506173,999,983.587
89910,90,-9.601233972734423,999,996.647
90909,91,-9.280189547144682,999,1007.49
91908,92,-9.33187399870563,999,1018.853
92907,93,-9.14900928239573,999,1029.73
93906,94,-9.341424105536726,999,1042.371
94905,95,-8.845063732506881,999,1054.348
95904,96,-9.040728196066436,999,1065.433
96903,97,-8.32398451300899,999,1077.174
97902,98,-8.995763646981352,999,1089.55
98901,99,-8.738874685370181,999,1102.669
99900,100,-9.882360967126873,999,1115.082
