step,episode,episode_return,episode_length,wall_clock_s
18,1,18.0,18,0.0
34,2,16.0,16,0.0
45,3,11.0,11,0.0
59,4,14.0,14,0.001
70,5,11.0,11,0.001
85,6,15.0,15,0.001
109,7,24.0,24,0.002
135,8,26.0,26,0.002
193,9,58.0,58,0.002
215,10,22.0,22,0.003
229,11,14.0,14,0.003
249,12,20.0,20,0.003
259,13,10.0,10,0.003
271,14,12.0,12,0.003
288,15,17.0,17,0.004
305,16,17.0,17,0.004
377,17,72.0,72,0.004
388,18,11.0,11,0.005
402,19,14.0,14,0.005
421,20,19.0,19,0.005
445,21,24.0,24,0.005
458,22,13.0,13,0.005
470,23,12.0,12,0.005
502,24,32.0,32,0.005
549,25,47.0,47,0.006
580,26,31.0,31,0.006
591,27,11.0,11,0.006
609,28,18.0,18,0.007
626,29,17.0,17,0.007
651,30,25.0,25,0.008
675,31,24.0,24,0.008
695,32,20.0,20,0.008
709,33,14.0,14,0.008
721,34,12.0,12,0.008
747,35,26.0,26,0.009
768,36,21.0,21,0.009
789,37,21.0,21,0.009
807,38,18.0,18,0.01
827,39,20.0,20,0.01
847,40,20.0,20,0.01
881,41,34.0,34,0.011
906,42,25.0,25,0.011
947,43,41.0,41,0.012
964,44,17.0,17,0.012
976,45,12.0,12,0.012
1007,46,31.0,31,0.235
1022,47,15.0,15,0.245
1034,48,12.0,12,0.252
1061,49,27.0,27,0.269
1093,50,32.0,32,0.291
1115,51,22.0,22,0.31
1126,52,11.0,11,0.318
1139,53,13.0,13,0.328
1153,54,14.0,14,0.342
1164,55,11.0,11,0.35
1178,56,14.0,14,0.364
1196,57,18.0,18,0.38
1222,58,26.0,26,0.408
1237,59,15.0,15,0.422
1255,60,18.0,18,0.44
1269,61,14.0,14,0.456
1284,62,15.0,15,0.47
1294,63,10.0,10,0.482
1328,64,34.0,34,0.52
1362,65,34.0,34,0.551
1373,66,11.0,11,0.559
1414,67,41.0,41,0.595
1445,68,31.0,31,0.623
1456,69,11.0,11,0.63
1485,70,29.0,29,0.659
1499,71,14.0,14,0.674
1511,72,12.0,12,0.688
1521,73,10.0,10,0.701
1538,74,17.0,17,0.717
1562,75,24.0,24,0.742
1587,76,25.0,25,0.765
1622,77,35.0,35,0.797
1675,78,53.0,53,0.841
1693,79,18.0,18,0.861
1709,80,16.0,16,0.879
1734,81,25.0,25,0.907
1770,82,36.0,36,0.955
1782,83,12.0,12,0.969
1798,84,16.0,16,0.986
1810,85,12.0,12,0.999
1824,86,14.0,14,1.012
1848,87,24.0,24,1.034
1863,88,15.0,15,1.048
1875,89,12.0,12,1.059
1888,90,13.0,13,1.068
1900,91,12.0,12,1.077
1916,92,16.0,16,1.089
1938,93,22.0,22,1.103
1958,94,20.0,20,1.115
1970,95,12.0,12,1.122
1993,96,23.0,23,1.137
2006,97,13.0,13,1.145
2039,98,33.0,33,1.165
2058,99,19.0,19,1.177
2068,100,10.0,10,1.183
2086,101,18.0,18,1.196
2097,102,11.0,11,1.204
2113,103,16.0,16,1.212
2124,104,11.0,11,1.219
2144,105,20.0,20,1.229
2163,106,19.0,19,1.243
