step,episode,episode_return,episode_length,wall_clock_s
200,1,-1042.2064898751514,200,0.575
400,2,-1804.77895319536,200,0.923
600,3,-1415.8152582136474,200,1.259
800,4,-1080.9975896207486,200,1.574
1000,5,-885.749042490233,200,1.948
1200,6,-1496.3541637298727,200,2.26
1400,7,-1304.2557176240027,200,2.58
1600,8,-1070.7079931367027,200,2.881
1800,9,-1315.860755148553,200,3.188
2000,10,-1162.1896194289347,200,3.426
2200,11,-1584.1041267035903,200,5.934
2400,12,-850.0554101052383,200,6.208
2600,13,-961.8789072047746,200,6.483
2800,14,-1636.743213712535,200,6.77
3000,15,-1075.5505156765123,200,7.114
3200,16,-1253.42300514881,200,7.441
3400,17,-1704.5797536213909,200,7.843
3600,18,-779.0715713537307,200,8.192
3800,19,-933.3368214364496,200,8.535
4000,20,-1616.5667055494346,200,8.88
4200,21,-969.3325854630854,200,11.345
4400,22,-949.0461834031191,200,11.641
4600,23,-897.9093913752369,200,11.987
4800,24,-1169.254524529371,200,12.364
5000,25,-1321.3930028764432,200,12.72
5200,26,-1199.3751800267569,200,13.013
5400,27,-1416.766064895005,200,13.301
5600,28,-1008.9958638706163,200,13.583
5800,29,-875.5879475325835,200,13.855
6000,30,-1066.5001606367234,200,14.115
6200,31,-910.0098352579687,200,16.452
6400,32,-1378.0361329900404,200,16.76
6600,33,-1016.868720871473,200,17.079
6800,34,-976.5742093211965,200,17.397
7000,35,-1063.5410242050925,200,17.885
7200,36,-967.4315118568614,200,18.509
7400,37,-960.7588998853955,200,19.123
7600,38,-910.5405620816512,200,19.764
7800,39,-900.7482772655522,200,20.421
8000,40,-1106.5083311435785,200,21.039
8200,41,-1283.103275307781,200,23.33
8400,42,-922.8253924729564,200,23.632
8600,43,-1158.073338833474,200,23.901
8800,44,-966.0988897152894,200,24.192
9000,45,-1327.8602710634877,200,24.486
9200,46,-1292.3777524251352,200,24.777
9400,47,-1428.0216715817892,200,25.073
9600,48,-1525.3734513633008,200,25.37
9800,49,-1195.4437070671856,200,25.664
10000,50,-1312.8545514398513,200,26.008
10200,51,-910.5111430160822,200,26.628
10400,52,-1242.2150232823474,200,28.821
10600,53,-1074.3302879850655,200,29.136
10800,54,-966.7138083543194,200,29.486
11000,55,-1695.8064900741779,200,30.079
11200,56,-859.0479238392732,200,30.739
11400,57,-1334.6140702856671,200,31.357
11600,58,-1069.6644322180973,200,32.027
11800,59,-1623.4759043743506,200,32.699
12000,60,-1271.8860825048778,200,33.381
12200,61,-899.9256763190343,200,34.015
12400,62,-1486.1686098117054,200,36.973
12600,63,-1056.736268234401,200,37.376
12800,64,-1099.313900848564,200,37.849
13000,65,-1244.4020056011514,200,38.297
13200,66,-982.9945561971108,200,38.599
13400,67,-865.842950473848,200,38.899
13600,68,-978.8864605907098,200,39.197
13800,69,-1109.0611864519879,200,39.506
14000,70,-1384.3883554941212,200,39.83
14200,71,-834.3054579116522,200,40.161
14400,72,-1197.3865589537545,200,42.587
14600,73,-940.5671636553858,200,42.906
14800,74,-1560.4677023803724,200,43.202
15000,75,-964.5913620481407,200,43.497
15200,76,-1621.918301887598,200,44.121
15400,77,-1372.06221575287,200,44.742
15600,78,-979.5486026289935,200,45.378
15800,79,-1232.7268486433238,200,46.027
16000,80,-985.7235814555021,200,46.54
16200,81,-1004.296576353063,200,46.896
16400,82,-778.7977980347223,200,49.509
16600,83,-865.7651666014693,200,49.791
16800,84,-965.2445376408452,200,50.07
17000,85,-1200.7932995174824,200,50.534
17200,86,-897.502677961566,200,50.897
17400,87,-871.6511145935566,200,51.324
17600,88,-1099.5781026726615,200,51.719
17800,89,-1060.4093135181588,200,52.154
18000,90,-1472.379983441229,200,52.488
18200,91,-1113.093587037473,200,52.804
18400,92,-1136.075885151948,200,53.433
18600,93,-1025.6217799136434,200,56.405
18800,94,-1001.9418232480174,200,56.724
19000,95,-1065.5361853626603,200,57.122
19200,96,-1120.329502777115,200,57.537
19400,97,-639.49093001791,200,58.118
19600,98,-1465.1266801074407,200,58.842
19800,99,-1417.6815077819895,200,59.605
20000,100,-1444.5850563018587,200,60.458
20200,101,-994.8112936385731,200,61.105
20400,102,-874.8405727895972,200,61.719
20600,103,-871.1812042899719,200,63.998
20800,104,-1321.3552766109315,200,64.285
21000,105,-888.7910237173942,200,64.577
21200,106,-1118.1609488017066,200,64.86
21400,107,-1253.655450683485,200,65.443
21600,108,-1128.708640624061,200,66.075
21800,109,-1246.5227509894132,200,66.699
22000,110,-1235.69315249951,200,67.331
22200,111,-1219.347249058197,200,67.965
22400,112,-956.8120531824303,200,68.586
22600,113,-990.161321946102,200,70.777
22800,114,-980.9540716490129,200,71.068
23000,115,-855.6540966003691,200,71.364
23200,116,-973.174496628572,200,71.644
23400,117,-811.7630977191079,200,71.94
23600,118,-1336.559295581445,200,72.239
23800,119,-980.0095446500973,200,72.812
24000,120,-883.1207668854697,200,73.424
24200,121,-899.0560049112803,200,74.067
24400,122,-999.6731534667434,200,74.705
24600,123,-1076.3442633061752,200,77.268
24800,124,-1007.904878922063,200,77.559
25000,125,-1229.141953712205,200,77.859
25200,126,-876.3850609117824,200,78.144
25400,127,-1346.0070790117024,200,78.438
25600,128,-705.1401206328725,200,78.722
25800,129,-991.3868133499907,200,79.13
26000,130,-858.7923063887254,200,79.781
26200,131,-995.3676334748908,200,80.499
26400,132,-1093.0513372912944,200,80.853
26600,133,-879.6197430874317,200,81.287
26800,134,-846.9364027261047,200,84.44
27000,135,-887.8257259663587,200,84.759
27200,136,-973.8871548499744,200,85.044
27400,137,-1108.2417521441148,200,85.376
27600,138,-1080.0639539813985,200,86.03
27800,139,-1205.860930898744,200,86.707
28000,140,-1175.7729507032143,200,87.34
28200,141,-915.5241684485968,200,87.981
28400,142,-1148.1921568964829,200,88.686
28600,143,-984.7170547554446,200,89.441
28800,144,-984.5901469616144,200,92.348
29000,145,-781.1876172035539,200,92.705
29200,146,-776.7615315694524,200,93.129
29400,147,-1022.0462975315176,200,93.753
29600,148,-912.9813888804896,200,95.051
29800,149,-1101.2984869814318,200,96.645
30000,150,-1029.978450851883,200,98.067
30200,151,-1114.5827894051768,200,98.767
30400,152,-1171.4929261767024,200,99.486
30600,153,-773.1573769946683,200,100.781
30800,154,-1039.6677681878223,200,105.097
31000,155,-1033.263079983781,200,105.637
31200,156,-995.2825477555679,200,106.267
31400,157,-1089.485634076352,200,106.892
31600,158,-771.0329638130939,200,107.523
31800,159,-641.4410256522146,200,108.162
32000,160,-1003.3600787078351,200,108.712
32200,161,-670.1570765172951,200,109.033
32400,162,-1012.1499133670978,200,109.361
32600,163,-757.6496825789334,200,109.7
32800,164,-1114.928310026239,200,111.764
33000,165,-935.2784450488264,200,112.067
33200,166,-1219.7887383883492,200,112.476
33400,167,-797.1080986742826,200,113.094
33600,168,-975.7994068128069,200,113.711
33800,169,-988.8954950677291,200,114.393
34000,170,-981.3418599361776,200,115.028
34200,171,-1332.9033773946,200,115.669
34400,172,-636.9972173133029,200,116.301
34600,173,-798.68075863649,200,116.943
34800,174,-886.3519051701511,200,117.564
35000,175,-770.4134786541518,200,119.773
35200,176,-1106.4040438979896,200,120.081
35400,177,-1052.6618716874657,200,120.436
35600,178,-1041.1233138012976,200,121.054
35800,179,-885.408420403595,200,121.802
36000,180,-923.6738864856696,200,122.768
36200,181,-1097.4611656158688,200,123.532
36400,182,-903.0982394090586,200,124.395
36600,183,-1068.9987160651979,200,125.317
36800,184,-761.1117785823569,200,126.123
37000,185,-1229.6495989061239,200,128.767
37200,186,-769.5664174316258,200,129.08
37400,187,-770.1025528771072,200,129.396
37600,188,-887.1532001882521,200,129.736
37800,189,-1026.9247789256158,200,130.352
38000,190,-633.5210071847204,200,130.684
38200,191,-897.3451433680065,200,131.003
38400,192,-1037.0892141493591,200,131.354
38600,193,-872.1836093010926,200,131.733
38800,194,-753.6168827775633,200,132.065
39000,195,-755.7521471801231,200,135.549
39200,196,-876.111061314242,200,135.922
39400,197,-756.9175569736832,200,136.477
39600,198,-902.0831792355806,200,137.171
39800,199,-898.504813264126,200,137.83
40000,200,-771.4817154753458,200,138.5
40200,201,-871.1854789738857,200,139.569
40400,202,-1007.0628778030606,200,140.38
40600,203,-640.7284798513149,200,140.823
40800,204,-854.2812170900683,200,141.337
41000,205,-979.9039030804178,200,144.263
41200,206,-1021.4070011479348,200,144.727
41400,207,-1032.8564941939615,200,145.184
41600,208,-1186.819019177831,200,145.635
41800,209,-943.6705295749765,200,146.08
42000,210,-791.6084887061173,200,146.587
42200,211,-510.87551189881987,200,147.261
42400,212,-624.800808825717,200,147.923
42600,213,-641.7164993190115,200,148.61
42800,214,-873.6648808934202,200,149.229
43000,215,-873.7490168577817,200,149.85
43200,216,-625.7801553825531,200,151.963
43400,217,-746.346681658509,200,152.256
43600,218,-753.4040271597215,200,152.547
43800,219,-893.8168496080407,200,152.85
44000,220,-746.7154787515728,200,153.242
44200,221,-680.4610239866199,200,153.94
44400,222,-1047.8440952595354,200,154.573
44600,223,-780.6300691250848,200,155.183
44800,224,-662.4804003630472,200,155.797
45000,225,-988.462366016443,200,156.441
45200,226,-635.196198094818,200,158.73
45400,227,-879.1758529505883,200,159.006
45600,228,-791.6772664586288,200,159.298
45800,229,-1052.2659656803091,200,159.585
46000,230,-809.3699577514386,200,159.892
46200,231,-903.8045284064993,200,160.218
46400,232,-1014.787787682553,200,160.622
46600,233,-741.9834512865457,200,161.278
46800,234,-746.5158324590225,200,161.911
47000,235,-635.0675644171998,200,162.557
47200,236,-712.2286625133756,200,165.348
47400,237,-627.8423409432862,200,165.803
47600,238,-1029.4554964726858,200,166.506
47800,239,-859.5059095130217,200,167.261
48000,240,-624.8333780549481,200,167.592
48200,241,-499.2067503392403,200,167.944
48400,242,-633.0741070209003,200,168.341
48600,243,-761.3073876355642,200,168.75
48800,244,-685.3815545420608,200,169.491
49000,245,-763.2293440987139,200,170.62
49200,246,-864.3983637083722,200,174.189
49400,247,-631.3886125539923,200,174.491
49600,248,-745.1916871269898,200,174.927
49800,249,-761.4125622598149,200,175.525
50000,250,-649.6847287877343,200,176.456
50200,251,-870.5365001901009,200,177.379
50400,252,-995.683223810472,200,178.22
50600,253,-1011.5592408466516,200,179.073
50800,254,-752.4568229683558,200,180.436
51000,255,-853.2351271223016,200,181.804
51200,256,-505.17963045487755,200,182.745
51400,257,-618.6037069431037,200,185.848
51600,258,-755.5954480782048,200,186.218
51800,259,-664.984384281345,200,186.77
52000,260,-623.2580991896267,200,187.516
52200,261,-808.2886821076606,200,188.175
52400,262,-980.7912989646011,200,188.857
52600,263,-600.78029824677,200,189.672
52800,264,-757.818627953931,200,190.457
53000,265,-627.4531527781934,200,191.242
53200,266,-1218.4727254880293,200,191.672
53400,267,-747.9172225685124,200,194.697
53600,268,-870.7837318944082,200,195.011
53800,269,-630.9018158555381,200,195.448
54000,270,-737.8769132823173,200,196.001
54200,271,-864.6608423862111,200,196.839
54400,272,-510.7643545002115,200,197.686
54600,273,-745.1549261565251,200,198.429
54800,274,-743.6660359412562,200,199.172
55000,275,-508.52743486777047,200,199.948
55200,276,-506.3224467958983,200,200.646
55400,277,-632.0548483039423,200,203.478
55600,278,-640.7528994315568,200,204.065
55800,279,-860.9476461963825,200,204.849
56000,280,-667.6912359625022,200,205.552
56200,281,-829.6950750693869,200,206.439
56400,282,-742.9021127114872,200,207.173
56600,283,-862.0674907091075,200,207.845
56800,284,-496.3799144586172,200,208.493
57000,285,-623.7718849789276,200,209.163
57200,286,-627.0689864889005,200,209.867
57400,287,-866.2039100263519,200,212.989
57600,288,-970.103487403047,200,213.411
57800,289,-1144.3478007542756,200,213.86
58000,290,-417.1523548387862,200,214.229
58200,291,-741.1797726675904,200,214.683
58400,292,-788.2799800918422,200,215.393
58600,293,-626.0727266891073,200,216.222
58800,294,-490.0333423925072,200,217.077
59000,295,-988.7913092003215,200,217.754
59200,296,-918.1576383028356,200,218.629
59400,297,-909.0614889024127,200,221.492
59600,298,-874.0900150681124,200,221.778
59800,299,-627.0812870818089,200,222.065
60000,300,-888.6375799522243,200,222.352
60200,301,-981.3978045122566,200,222.638
60400,302,-499.83760530492793,200,223.038
60600,303,-498.5716061459445,200,223.66
60800,304,-769.8727212754118,200,224.281
61000,305,-973.1605232795857,200,224.935
61200,306,-634.9373417722024,200,225.564
61400,307,-507.8344626043544,200,226.213
61600,308,-506.4064942460563,200,228.691
61800,309,-627.1232055486972,200,228.992
62000,310,-876.3306940800829,200,229.288
62200,311,-450.95076787518923,200,229.581
62400,312,-885.6578453713636,200,229.872
62600,313,-535.112055156855,200,230.16
62800,314,-754.3132357110059,200,230.737
63000,315,-987.6501871829754,200,231.351
63200,316,-555.5374133439107,200,232.005
63400,317,-862.6965151537305,200,232.654
63600,318,-532.3025901155694,200,234.837
63800,319,-383.3993756542068,200,235.141
64000,320,-376.30983353936335,200,235.434
64200,321,-497.9978532416865,200,235.715
64400,322,-629.4870403681446,200,235.993
64600,323,-628.3852600683704,200,236.296
64800,324,-635.5534831139188,200,236.697
65000,325,-500.2775692171707,200,237.318
65200,326,-504.8391428146767,200,237.924
65400,327,-631.6604897038204,200,238.564
65600,328,-967.9614600429717,200,240.812
65800,329,-746.3374919897045,200,241.102
66000,330,-628.0659474034858,200,241.381
66200,331,-1028.066663020111,200,241.675
66400,332,-380.4699005474502,200,242.011
66600,333,-876.8407473679133,200,242.365
66800,334,-496.75075362910684,200,242.781
67000,335,-738.0214249756009,200,243.437
67200,336,-902.3371183433654,200,244.052
67400,337,-978.9373810737085,200,244.68
67600,338,-856.936709514803,200,246.947
67800,339,-644.3874723387012,200,247.245
68000,340,-382.5823620473602,200,247.545
68200,341,-499.5078499023571,200,247.839
68400,342,-255.98738287236284,200,248.118
68600,343,-759.0335271536441,200,248.399
68800,344,-378.1405170677719,200,248.803
69000,345,-743.0658572933587,200,249.422
69200,346,-614.8185133462466,200,250.053
69400,347,-741.9012148481872,200,250.682
69600,348,-415.7633646672828,200,251.385
69800,349,-504.7358324615154,200,253.331
70000,350,-912.7436985542363,200,253.611
70200,351,-629.5115365898127,200,253.913
70400,352,-374.03136765358215,200,254.199
70600,353,-387.2683149649917,200,254.483
70800,354,-1057.064259437762,200,254.835
71000,355,-504.1561129842558,200,255.501
71200,356,-504.87812342118247,200,256.124
71400,357,-498.18550966719914,200,256.74
71600,358,-645.1171517417256,200,257.384
71800,359,-762.0384412877388,200,259.465
72000,360,-643.6964415837296,200,259.758
72200,361,-501.0757962778336,200,260.058
72400,362,-375.2185082268777,200,260.342
72600,363,-382.9730845865848,200,260.637
72800,364,-887.2541343157845,200,261.037
73000,365,-131.1306842576735,200,261.671
73200,366,-762.5032193407525,200,262.307
73400,367,-388.36221026336415,200,262.939
73600,368,-1053.8267760139715,200,263.577
73800,369,-532.880153046558,200,265.745
74000,370,-380.44340128704795,200,266.049
74200,371,-254.9031412430877,200,266.379
74400,372,-129.1418477707163,200,266.66
74600,373,-544.7479473577716,200,266.948
74800,374,-374.4938700116344,200,267.267
75000,375,-639.9096467861492,200,267.559
75200,376,-378.70666527991153,200,267.897
75400,377,-125.39795500641323,200,268.508
75600,378,-515.8123458015839,200,269.132
75800,379,-130.6647322151185,200,271.389
76000,380,-633.4021220005767,200,271.728
76200,381,-757.7516656835195,200,272.083
76400,382,-579.0538096298501,200,272.405
76600,383,-377.3856600554534,200,272.922
76800,384,-525.0781749374506,200,273.642
77000,385,-381.97206373772667,200,274.26
77200,386,-251.10401954649436,200,274.881
77400,387,-390.3759070951903,200,275.523
77600,388,-390.64436409948536,200,276.151
77800,389,-134.38167402139203,200,276.781
78000,390,-497.88761749359816,200,278.896
