step,episode,episode_return,episode_length,wall_clock_s
999,1,-33.52377062220096,999,0.119
1998,2,-32.33001931982327,999,0.239
2997,3,-34.445109972502934,999,0.358
3996,4,-34.106592411343605,999,0.476
4995,5,-32.48247813779098,999,0.595
5994,6,-33.74370078041806,999,0.715
6993,7,-33.799926265622176,999,0.832
7992,8,-33.494346266497686,999,0.95
8991,9,-32.96103770022489,999,1.069
9990,10,-34.57143114881054,999,1.188
10989,11,-32.940414650670505,999,33.377
11988,12,-32.17738294867096,999,68.056
12987,13,-32.16181539515324,999,98.915
13986,14,-31.889411574927134,999,134.393
14985,15,-32.86361670622409,999,166.264
15984,16,-30.299897176489424,999,197.194
16983,17,-30.537311224888672,999,224.15
17982,18,-28.098256498909656,999,258.783
18981,19,-27.65324025563945,999,291.644
19980,20,-25.20553174905436,999,323.554
20979,21,-25.13434718881133,999,349.07
21978,22,-22.674549206728233,999,377.272
22977,23,-20.642246610251238,999,410.905
23976,24,-16.885203080272344,999,443.504
24975,25,-15.946682093668185,999,477.893
25974,26,-12.67217791973896,999,512.455
26973,27,-10.563668545025989,999,546.058
27972,28,-9.076227501309482,999,572.956
28971,29,-7.601154365160572,999,608.293
29970,30,-6.653679786098942,999,641.922
30969,31,-4.97169553225883,999,676.983
31968,32,-4.409150376825609,999,711.206
32967,33,-3.791022390349795,999,741.5
33966,34,-2.976863793239444,999,775.083
34965,35,-2.2615580527842805,999,805.764
35964,36,-2.0002012023929834,999,836.67
36963,37,-1.6546911632272814,999,865.827
37962,38,-1.4625464641036765,999,895.801
38961,39,-1.3140035448809928,999,923.126
39960,40,-1.0509674613460591,999,952.03
40959,41,-0.9898091375498177,999,986.666
41958,42,-0.946782737473271,999,1018.8
42957,43,-0.7932438808458216,999,1054.864
43956,44,-0.7930328317973782,999,1082.684
44955,45,-0.8398085020184621,999,1112.362
45954,46,-0.8269311624729225,999,1141.368
46953,47,-0.845397318737466,999,1175.683
47952,48,-0.7278541912478382,999,1211.322
48951,49,-0.8184313682970611,999,1247.628
49950,50,-0.8267026148241587,999,1274.275
50949,51,-0.837927525101619,999,1301.805
51948,52,-0.7811689043252267,999,1333.612
52947,53,-0.7730631895359479,999,1368.013
53946,54,-0.8245099890654598,999,1397.081
54945,55,-0.7769405267330679,999,1424.372
55944,56,-0.7721961483180895,999,1456.096
56943,57,-0.7848170865761122,999,1485.005
57942,58,-0.7515157030261629,999,1516.411
58941,59,-0.8097668857086465,999,1545.961
59940,60,-0.7603366102963276,999,1578.193
60939,61,-0.8019043874210756,999,1607.681
61938,62,-0.777182420370329,999,1641.445
62937,63,-0.8045916979038368,999,1677.589
63936,64,-0.8499250460265516,999,1709.799
64935,65,-0.793760809402685,999,1746.216
65934,66,-0.889310239146293,999,1782.164
66933,67,-0.7599250582841356,999,1814.625
67932,68,-0.7702469301083772,999,1848.073
68931,69,-0.7963493716109862,999,1881.424
69930,70,-0.7990182133056214,999,1913.612
70929,71,-0.8106844502066413,999,1940.379
71928,72,-0.8459721661452622,999,1971.355
72927,73,-0.7587397497440996,999,2005.277
73926,74,-0.7345513681206102,999,2037.667
74925,75,-0.7844332409203457,999,2063.3
75924,76,-0.831039918224865,999,2095.106
76923,77,-0.8405644397802788,999,2129.664
77922,78,-0.8182128826256762,999,2161.963
78921,79,-0.7591306865287483,999,2193.698
79920,80,-0.7960917914839084,999,2224.254
80919,81,-0.7562628637840885,999,2259.287
81918,82,-0.8058850701755259,999,2289.729
82917,83,-0.7958411607256133,999,2320.365
83916,84,-0.7886245576470886,999,2352.745
84915,85,-0.7846144362621529,999,2387.151
85914,86,-0.8415043493372611,999,2417.9
86913,87,-0.8226712768531648,999,2448.868
87912,88,-0.8033290372509856,999,2477.619
88911,89,-0.83780311537216,999,2506.325
89910,90,-0.7722675527334347,999,2533.503
90909,91,-0.8249687491933447,999,2567.847
91908,92,-0.7804069348379682,999,2602.079
92907,93,-0.7881059772066148,999,2637.473
93906,94,-0.8112150734382234,999,2672.004
94905,95,-0.7936862330903095,999,2703.332
95904,96,-0.8156478264753707,999,2730.418
96903,97,-0.8171072294383587,999,2764.415
97902,98,-0.7525301148585041,999,2798.641
98901,99,-0.8129556406923425,999,2825.483
99900,100,-0.8194387982763993,999,2855.931
