step,episode,episode_return,episode_length,wall_clock_s
999,1,-33.01199566961053,999,0.12
1998,2,-34.884464064800724,999,0.241
2997,3,-33.219018266220736,999,0.359
3996,4,-34.136755905163405,999,0.478
4995,5,-33.91260175714916,999,0.597
5994,6,-33.288783219723705,999,0.716
6993,7,-34.18575527751893,999,0.834
7992,8,-33.63561977010467,999,0.953
8991,9,-34.24891385172593,999,1.072
9990,10,-34.07633054393309,999,1.19
10989,11,-28.946544299623152,999,29.397
11988,12,-29.6568664463862,999,58.051
12987,13,-30.896189213029555,999,84.892
13986,14,-29.984677880812526,999,113.666
14985,15,-29.69291325826679,999,143.089
15984,16,-31.059101337220024,999,171.265
16983,17,-30.295431988729565,999,200.101
17982,18,-29.844628868105996,999,232.054
18981,19,-30.664104495337636,999,259.603
19980,20,-29.925980606983742,999,289.313
20979,21,-29.598808584686555,999,322.868
21978,22,-30.333829090200126,999,353.674
22977,23,-30.642355746526995,999,378.331
23976,24,-31.666854605276573,999,401.017
24975,25,-29.691442634747535,999,428.889
25974,26,-29.792413600890004,999,460.867
26973,27,-29.4940245812514,999,491.8
27972,28,-30.113362045460057,999,523.6
28971,29,-28.101746667735327,999,554.73
29970,30,-30.1848778031793,999,587.159
30969,31,-30.193309919038096,999,612.644
31968,32,-29.695632914437233,999,645.801
32967,33,-30.516777838934257,999,678.112
33966,34,-30.260720651348198,999,705.054
34965,35,-29.840784093621092,999,737.278
35964,36,-30.86162130358965,999,767.832
36963,37,-30.505129867497843,999,795.8
37962,38,-29.29979794361889,999,826.6
38961,39,-33.00422390354238,999,860.02
39960,40,-30.965948883928277,999,893.502
40959,41,-30.125455922449902,999,926.202
41958,42,-30.841023729571447,999,959.57
42957,43,-29.078687435708687,999,992.77
43956,44,-29.848309501110645,999,1024.526
44955,45,-30.23169433911139,999,1051.63
45954,46,-30.6268249626783,999,1084.874
46953,47,-29.020742770441494,999,1116.466
47952,48,-31.158397953245274,999,1141.422
48951,49,-29.475519822419933,999,1164.3
49950,50,-29.58751109537372,999,1193.199
50949,51,-28.75449397997097,999,1226.694
51948,52,-29.915283488589456,999,1259.756
52947,53,-30.695074959871313,999,1287.742
53946,54,-31.720131352597715,999,1321.143
54945,55,-29.22525656965475,999,1353.941
55944,56,-31.708249443701952,999,1376.92
56943,57,-29.624018566089,999,1405.312
57942,58,-30.909622856837643,999,1427.245
58941,59,-29.906747985988382,999,1454.276
59940,60,-30.017942453340694,999,1476.899
60939,61,-30.42111385128579,999,1501.963
61938,62,-30.700356466111685,999,1533.954
62937,63,-32.42460880080931,999,1567.061
63936,64,-29.726537967925537,999,1599.338
64935,65,-29.832379503245722,999,1632.7
65934,66,-31.08044061734518,999,1665.263
66933,67,-30.809757226102374,999,1696.424
67932,68,-29.451444900502036,999,1729.103
68931,69,-29.55467622616781,999,1758.703
69930,70,-30.435849666534917,999,1788.904
70929,71,-31.230329276752805,999,1822.016
71928,72,-29.601918270520002,999,1855.152
72927,73,-29.33234504205147,999,1879.252
73926,74,-30.13656362542221,999,1911.879
74925,75,-30.336245071502628,999,1945.406
75924,76,-28.978407393758236,999,1978.785
76923,77,-28.72526374963124,999,2010.529
77922,78,-29.791401661042094,999,2043.976
78921,79,-28.302464760357363,999,2077.252
79920,80,-29.56948361369841,999,2110.097
80919,81,-29.312715904671997,999,2142.261
81918,82,-29.144980765644096,999,2171.897
82917,83,-31.274102385740445,999,2202.694
83916,84,-30.956013540709968,999,2229.358
84915,85,-30.79101021305753,999,2260.444
85914,86,-29.684922164794305,999,2285.273
86913,87,-31.31240391683292,999,2312.602
87912,88,-29.164244053979466,999,2335.052
88911,89,-30.548403351507744,999,2362.87
89910,90,-31.09195567260922,999,2394.26
90909,91,-29.626092142964993,999,2422.436
91908,92,-29.53070609824113,999,2452.916
92907,93,-31.158632502694164,999,2482.451
93906,94,-30.19689022010838,999,2511.499
94905,95,-31.430204249798194,999,2544.752
95904,96,-31.039092628574164,999,2576.341
96903,97,-29.18485921788615,999,2609.185
97902,98,-31.297541893903936,999,2634.692
98901,99,-29.480748394219372,999,2667.258
99900,100,-29.808925483627586,999,2699.372
