step,episode,episode_return,episode_length,wall_clock_s
999,1,-32.50420102470027,999,0.123
1998,2,-35.035935179933475,999,0.37
2997,3,-32.69248547445046,999,0.491
3996,4,-32.46458540281787,999,0.611
4995,5,-35.142317658089446,999,0.733
5994,6,-32.23419828977042,999,0.855
6993,7,-34.05928261725336,999,0.976
7992,8,-33.79233718941918,999,1.096
8991,9,-33.27828496924111,999,1.216
9990,10,-32.69640343999208,999,1.336
10989,11,-1.2480822139887096,999,14.926
11988,12,-0.9582148892854432,999,26.428
12987,13,-1.0351446176135335,999,42.109
13986,14,-0.993712415332438,999,54.767
14985,15,-1.0405068910136963,999,66.798
15984,16,-1.0168120239447913,999,78.859
16983,17,-0.9539330250766079,999,92.452
17982,18,-1.0222973016587422,999,106.93
18981,19,-0.9372082053970223,999,121.827
19980,20,-1.0706481368599872,999,136.731
20979,21,-1.004046450104383,999,149.913
21978,22,-0.9716043534959968,999,164.355
22977,23,-0.965400346686801,999,178.552
23976,24,-1.000786962447447,999,191.006
24975,25,-1.014767682027083,999,198.987
25974,26,-0.9724469377475427,999,210.496
26973,27,-0.9944321770327074,999,224.16
27972,28,-1.083072524018824,999,234.697
28971,29,-0.9933498896538903,999,250.51
29970,30,-0.9872108174755739,999,265.11
30969,31,-0.9856004537791401,999,278.835
31968,32,-1.0209417197365414,999,291.119
32967,33,-0.9665336030538678,999,300.963
33966,34,-0.9742789713735386,999,310.734
34965,35,-0.9806791525186226,999,321.559
35964,36,-0.9950259232470763,999,335.316
36963,37,-1.0642786610290118,999,346.008
37962,38,-1.0212919798708073,999,361.939
38961,39,-0.9595255381494087,999,377.889
39960,40,-1.0393055601056735,999,389.424
40959,41,-1.0982993875285132,999,398.062
41958,42,-0.9329580177390189,999,408.191
42957,43,-1.1020457515908864,999,418.752
43956,44,-0.9791742737916354,999,434.516
44955,45,-1.0266354092491372,999,448.678
45954,46,-1.0384058021722546,999,464.586
46953,47,-1.0546326910068418,999,475.316
47952,48,-1.0408802682881,999,489.793
48951,49,-1.022510942477048,999,502.383
49950,50,-1.0105565828177379,999,512.477
50949,51,-1.0623881038884662,999,523.706
51948,52,-1.1080314976036116,999,534.755
52947,53,-1.0808323627120517,999,549.64
53946,54,-1.093417617645256,999,563.118
54945,55,-0.9855724864624009,999,577.319
55944,56,-1.2301181988048995,999,589.468
56943,57,-1.033162208655549,999,603.178
57942,58,-1.0520551536045353,999,617.876
58941,59,-1.1126463499899162,999,631.838
59940,60,-1.0851682838996426,999,648.04
60939,61,-1.1017091300790536,999,658.47
61938,62,-1.059438545999743,999,669.009
62937,63,-1.0526105719712884,999,678.958
63936,64,-1.0137799172096487,999,692.133
64935,65,-1.041382869301585,999,705.999
65934,66,-0.9879147106451619,999,718.438
66933,67,-1.114505354784248,999,734.546
67932,68,-1.1191487262450128,999,750.082
68931,69,-1.093124452517459,999,763.857
69930,70,-1.1425347299259456,999,779.641
70929,71,-1.2847810963458632,999,795.786
71928,72,-1.1170057725894982,999,811.474
72927,73,-1.1331680174661545,999,825.456
73926,74,-1.1057815596369387,999,839.83
74925,75,-1.1401288416079065,999,849.729
75924,76,-1.1187698915485464,999,862.287
76923,77,-1.1257743854066524,999,874.533
77922,78,-1.0957431905888495,999,890.161
78921,79,-1.166491747744085,999,906.25
79920,80,-1.1023890556519826,999,919.041
80919,81,-1.0625314589820838,999,933.389
81918,82,-1.0026785434946506,999,948.656
82917,83,-1.0067814377302986,999,964.112
83916,84,-1.0264203682540152,999,977.654
84915,85,-1.0585457175685544,999,987.744
85914,86,-0.985332197853773,999,998.532
86913,87,-1.06813610848467,999,1009.932
87912,88,-1.0440587790800766,999,1023.968
88911,89,-1.0877123074182116,999,1036.067
89910,90,-0.9801758932809654,999,1048.64
90909,91,-1.019736180516767,999,1063.076
91908,92,-1.0066781118247936,999,1075.549
92907,93,-1.0756845582560606,999,1084.506
93906,94,-0.9829539797003688,999,1098.616
94905,95,-1.013922766879636,999,1112.137
95904,96,-1.020177097724939,999,1125.551
96903,97,-0.9873352587226653,999,1140.163
97902,98,-1.081020620102889,999,1152.49
98901,99,-1.0032831853708664,999,1165.239
99900,100,-0.9988764063702767,999,1176.956
