algo,env,n_seeds,final_mean,final_ci_lo,final_ci_hi,steps_to_thr,wall_clock_s,sec_per_100k,actor_params,on_policy
dqn,CartPole-v1,3,164.35333333333332,110.86,258.75,99655.0,98.315,98.4695972677103,4610,False
dqn,Acrobot-v1,3,-96.12666666666667,-101.2,-93.58,30075.0,239.86233333333334,119.94336090835901,4803,False
ppo,CartPole-v1,3,380.10999999999996,349.93,402.26,,433.78999999999996,442.3178888979525,4610,True
ppo,Acrobot-v1,3,-127.35333333333334,-215.72,-82.06,109935.0,912.8303333333333,457.22903434780574,4803,True
ppo,Pendulum-v1,3,-247.9119343711508,-265.04467596892255,-225.8683528051511,95200.0,894.3726666666666,450.3387042631755,4482,True
ppo,MountainCarContinuous-v0,3,-56.19537658518286,-99.89999999999856,-5.284893195629131,,5871.170000000001,1960.7974324349902,4418,True
sac,Pendulum-v1,3,-146.14706330256942,-152.14304669757107,-137.25971265555592,7400.0,2366.8016666666667,1183.4008333333334,67330,False
sac,MountainCarContinuous-v0,3,-0.7989403706470496,-0.8040235380165036,-0.7962712792670849,,8132.1539999999995,2713.4314314314315,67074,False
td3,Pendulum-v1,3,-154.86917062242313,-160.21698445348918,-147.95167640178676,8600.0,966.3770000000001,483.18850000000003,67073,False
td3,MountainCarContinuous-v0,3,-9.068263617274708,-9.191364246941072,-8.997511661078862,,2582.4043333333334,861.6631075519965,66817,False
